Bldg Num,Building Name,Abbrev,Address,GSF,Own / Lease,Status,Class,Year,Age,LEED Level,LEED Certification Year,X,Y,,,,,,,,,,,
470,Calan Feed Barn,,Dairy Road,1200,,Demolished,Building,2006,11,,,28.0601386,-80.6380556,,,,,,,,,,,
0487B,House Trailer,,Dairy Road,0,,Sold,Building,0,2017,,,28.0601386,-80.6380556,,,,,,,,,,,
0487A,House Trailer,,Dairy Road,0,,Sold,Building,0,2017,,,28.0601386,-80.6380556,,,,,,,,,,,
0487C,House Trailer,,Dairy Road,0,,Sold,Building,0,2017,,,28.0601386,-80.6380556,,,,,,,,,,,
0482F,Leased Office Trailer,,Dairy Road,0,,Terminated,Building,0,2017,,,28.0601386,-80.6380556,,,,,,,,,,,
0485A,Nitrogen Tank,,Dairy Road,0,,Demolished,Structure,0,2017,,,28.0601386,-80.6380556,,,,,,,,,,,
318,Residence,DC0318,195 Dairy Road,1648,Owned,Active,Building,1955,62,,,28.0671726,-81.7759725,,,,,,,,,,,
553,Campbell Arena [Equipment Shed],CARNA,495 Plantation Road,17078,Owned,Active,Building,1970,47,,,28.3183267,-80.6876999,,,,,,,,,,,
139,Mining And Minerals Laboratory,MMLAB,740 Plantation Road,12612,Owned,Active,Building,1979,38,,,28.3187073,-80.6833188,,,,,,,,,,,
0139A,Mining And Minerals Storage Shed,MML SS,740 Plantation Road,1866,Owned,Active,Building,1997,20,,,28.3187073,-80.6833188,,,,,,,,,,,
0185R,Soccer Field Trailer East,SFT E,224-A Beamer Way,600,Owned,Active,Building,2009,8,,,28.5414051,-81.2940757,,,,,,,,,,,
0185S,Soccer Field Trailer West,SFT W,224-B Beamer Way,600,Owned,Active,Building,2009,8,,,28.5414051,-81.2940757,,,,,,,,,,,
0185G,Track Complex,TRACK,350 Beamer Way,0,Owned,Active,Other,1997,20,,,28.5422438,-81.2940611,,,,,,,,,,,
0185J,Equipment Storage Building,MC185J,350-A Beamer Way,1200,Owned,Active,Structure,1999,18,,,28.5422438,-81.2940611,,,,,,,,,,,
0185E,Women'S Softball Dugouts,WSBF,240-A Beamer Way,1292,Owned,Active,Structure,1997,20,,,28.5422922,-81.2940611,,,,,,,,,,,
0185H,Women'S Softball Press Box,WSBP,240 Beamer Way,144,Owned,Active,Building,2000,17,,,28.5422922,-81.2940611,,,,,,,,,,,
186,Rector Field House,RFH,230 Beamer Way,71189,Owned,Active,Building,1971,46,,,28.5422966,-81.2940611,,,,,,,,,,,
0185K,Football Practice Fields,MC185K,632 Callaghan-Sheridan Way,0,Owned,Active,Location,2001,16,,,28.5623237,-81.3885736,,,,,,,,,,,
0187B,Football Locker Room,FBLKR,500 Callaghan-Sheridan Way,42145,Owned,Active,Building,2010,7,Silver,2011,28.562398,-81.385906,,,,,,,,,,,
2401,Ferrari,,Ferrari,270,,Terminated,Building,0,2017,,,28.6121653,-81.3874704,,,,,,,,,,,
0540A,Hog Feed Shed,HOGFE,144 Plantation Road,1617,Owned,Active,Building,1956,61,,,28.8756434,-81.3002844,,,,,,,,,,,
540,Hog Barn,HOG,142 Plantation Road,1613,Owned,Active,Building,1956,61,,,28.8757024,-81.3006743,,,,,,,,,,,
,,,Grand Isle LA 70358,,,,,0,2017,,,29.2366128,-89.9872921,,,,,,,,,,,
2342,Mcgehee / Quinn Apartments,,8110 Coco Marina,1500,,Terminated,Building,0,2017,,,29.251781,-90.6615125,,,,,,,,,,,
2056,"Commonhealth, Child Resource And Referral",,404 Clay Street,2089,,Terminated,Building,1890,127,,,29.4068025,-98.4970269,,,,,,,,,,,
2055,Economic Development Assistance And Center For Poverty,,404 Clay Street,1700,,Terminated,Building,1890,127,,,29.4068025,-98.4970269,,,,,,,,,,,
,,,Chauvin LA 70344,,,,,0,2017,,,29.4385529,-90.5953651,,,,,,,,,,,
538,Transgenic Building,TGB,102 Plantation Road,1620,Owned,Active,Building,1992,25,,,29.7543193,-95.5421133,,,,,,,,,,,
542,Storage Building,SC0542,106-A Plantation Road,1064,Owned,Active,Building,1959,58,,,29.7545431,-95.5419642,,,,,,,,,,,
541,Swine Center Building,SWINE,106 Plantation Road,5964,Owned,Active,Building,1959,58,,,29.7545431,-95.5419642,,,,,,,,,,,
0124G,Greenhouse F7,GH F7,201-G Garden Lane,1632,Owned,Active,Building,1973,44,,,29.905787,-90.051959,,,,,,,,,,,
975,Robinson Lodge,4H0975,508 4h Center Drive,14520,Owned,Active,Building,1984,33,,,29.9999923,-91.8204599,,,,,,,,,,,
972,Peters Lodge,4H0972,317 4h Center Drive,5500,Owned,Active,Building,1979,38,,,30.0014708,-91.818399,,,,,,,,,,,
973,Rector Lodge,4H0973,309 4h Center Drive,5500,Owned,Active,Building,1979,38,,,30.00163,-91.8181796,,,,,,,,,,,
623,Andrews Information Systems Building,ISB,1700 Pratt Drive,51036,Leased,Active,Building,1989,28,,,30.002989,-90.0705739,,,,,,,,,,,
0223A,Electric Service Shed,ESS,Energy Drive,2869,Owned,Active,Structure,2006,11,,,30.1015981,-95.4386704,,,,,,,,,,,
0223B,Electric Service Trailer Shed,ESTS,Energy Drive,720,Owned,Active,Structure,2016,1,,,30.1015981,-95.4386704,,,,,,,,,,,
169,Theater 101,T101,200 College Avenue,8479,Owned,Active,Building,2009,8,Gold,2010,30.1505689,-85.6308,,,,,,,,,,,
0553B,Tack Building,TACKB,497 Plantation Road,532,Owned,Active,Building,1997,20,,,30.2323686,-87.8911229,,,,,,,,,,,
2567,Cherry Lane Apartments Ii,,726 North University Street,850,,Terminated,Building,0,2017,,,30.2388819,-92.0324177,,,,,,,,,,,
2351,Banks House,,119 La Branche Avenue,1300,,Terminated,Building,1970,47,,,30.3966959,-88.803641,,,,,,,,,,,
2473,Pirates Bay Condominiums,,214 Miracle Strip Parkway,3250,,Terminated,Building,1988,29,,,30.4099086,-86.6684148,,,,,,,,,,,
,,,Mary Esther FL 32569,,,,,0,2017,,,30.4099215,-86.6630098,,,,,,,,,,,
0124E,Greenhouse F2,GH F2,201-E Garden Lane,1953,Owned,Active,Building,1973,44,,,30.4132539,-87.2127537,,,,,,,,,,,
0124D,Greenhouse F3,GH F3,201-D Garden Lane,1953,Owned,Active,Building,1973,44,,,30.4132539,-87.2127537,,,,,,,,,,,
0124B,Greenhouse F5,GH F5,201-B Garden Lane,1833,Owned,Active,Building,1973,44,,,30.4132539,-87.2127537,,,,,,,,,,,
0124A,Greenhouse F6,GH F6,201-A Garden Lane,1978,Owned,Active,Building,1973,44,,,30.4132539,-87.2127537,,,,,,,,,,,
0124H,Greenhouse F8,GH F8,201-H Garden Lane,1632,Owned,Active,Building,1973,44,,,30.4132539,-87.2127537,,,,,,,,,,,
2472,Mary Ward Property,,2231 Monahan Court,1378,,Terminated,Building,1988,29,,,30.432557,-86.6112146,,,,,,,,,,,
160,Observatory,OBSRV,1388 Old Mill Road,410,Owned,Active,Building,1974,43,,,30.4725963,-97.8309674,,,,,,,,,,,
0510C,Equipment Shed,AGNS2,1008-G Old Mill Road,908,Owned,Active,Structure,1957,60,,,30.4740224,-97.8253086,,,,,,,,,,,
0510B,Agronomy Service Building,AGNSV,1008-A Old Mill Road,4480,Owned,Active,Building,1961,56,,,30.4740224,-97.8253086,,,,,,,,,,,
0504A,Agronomy Service Building A,MF504A,1008-B Old Mill Road,1170,Owned,Active,Building,1999,18,,,30.4740224,-97.8253086,,,,,,,,,,,
0504B,Agronomy Service Building B,MF504B,1008-C Old Mill Road,1162,Owned,Active,Building,1999,18,,,30.4740224,-97.8253086,,,,,,,,,,,
0510D,Pole Barn,MF510D,1008-F Old Mill Road,1080,Owned,Active,Structure,0,2017,,,30.4740224,-97.8253086,,,,,,,,,,,
431,Urban Horticulture Center,UHORT,1004 Old Mill Road,1768,Owned,Active,Building,1976,41,,,30.4741401,-97.8249307,,,,,,,,,,,
0510E,Wood Research Building,AGWRB,1004-A Old Mill Road,1920,Owned,Active,Building,2002,15,,,30.4741401,-97.8249307,,,,,,,,,,,
329,Residence,LC0329,601 Plantation Road,1227,Owned,Active,Building,1957,60,,,30.4764334,-84.2708679,,,,,,,,,,,
,,,Niceville FL 32578,,,,,0,2017,,,30.5013778,-86.3984793,,,,,,,,,,,
,,,Valparaiso FL 32580,,,,,0,2017,,,30.5164323,-86.5299673,,,,,,,,,,,
2471,Hudson Property,,201 College Blvd. East,800,,Terminated,Building,0,2017,,,30.533685,-86.471448,,,,,,,,,,,
0274A,The Grove Carriage House,MC274A,730 Duck Pond Drive,386,Owned,Active,Building,1902,115,,,30.561049,-83.7010831,,,,,,,,,,,
274,The Grove [President'S House],GROVE,730 Duck Pond Drive,15147,Owned,Active,Building,1902,115,,,30.561049,-83.7010831,,,,,,,,,,,
0274B,The Grove Garage,MC274B,730 Duck Pond Drive,888,Owned,Active,Building,2000,17,,,30.561049,-83.7010831,,,,,,,,,,,
0185M,Weaver Baseball Center,WBC,240 Duck Pond Drive,12000,Owned,Active,Building,2009,8,,,30.5610817,-83.7168518,,,,,,,,,,,
2265,Uncle Bob'S Storage,OM2265,390 Bell Road,700,Leased,Active,Building,0,2017,,,30.674411,-84.3647529,,,,,,,,,,,
301,"Institute For Society, Culture And Environment",ISCE,230 Grove Lane,5539,Owned,Active,Building,1914,103,,,30.6974879,-97.6223966,,,,,,,,,,,
735,Roanoke Valley Graduate Center,,111 & 117 Church Avenue Sw,7000,,Terminated,Building,0,2017,,,30.8726792,-84.2129788,,,,,,,,,,,
1334,Silo,KL1334,2000 Dairy Complex Drive,168,Owned,Active,Structure,1960,57,,,30.9352905,75.7952677,,,,,,,,,,,
1327,Feed Lot,KL1327,6050 Dairy Complex Drive,1890,Owned,Active,Structure,1991,26,,,30.9352905,75.7952677,,,,,,,,,,,
1328,Manure Storage Facility,KL1328,6052 Dairy Complex Drive,2280,Owned,Active,Structure,1991,26,,,30.9352905,75.7952677,,,,,,,,,,,
0270H,Building 270h [Dairy Sciences Modular Office],B270H,2070 Dairy Complex Drive,1763,Owned,Active,Building,2006,11,,,30.9352905,75.7952677,,,,,,,,,,,
1352,Calf Barn,KL1352,6088 Dairy Complex Drive,4000,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1356,Commodity Barn,KL1356,6084 Dairy Complex Drive,6100,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1355,Hay Barn,KL1355,6086 Dairy Complex Drive,6000,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1354,Housing Barn,KL1354,2164 Dairy Complex Drive,52100,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1358,Liquid Waste Storage - North,KL1358,2156 Dairy Complex Drive,0,Leased,Active,Structure,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1359,Liquid Waste Storage - South,KL1359,2158 Dairy Complex Drive,0,Leased,Active,Structure,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1351,Milking Parlor / Administration Building,KL1351,6090 Dairy Complex Drive,13000,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1353,Special Needs / Heifer Barn,KL1353,6092 Dairy Complex Drive,23000,Leased,Active,Building,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
1357,Waste Processing Facility,KL1357,2170 Dairy Complex Drive,0,Leased,Active,Structure,2015,2,,,30.9352905,75.7952677,,,,,,,,,,,
0726A,Sw District Extension Office,,265 West Main Street,2660,,Terminated,Building,0,2017,,,31.2237843,-85.3950776,,,,,,,,,,,
2185,Security Self Storage,,2480 Ramble Road,200,,Terminated,Building,0,2017,,,31.4036593,-82.8216509,,,,,,,,,,,
734,Colonial Hills Office Building,,2728 Colonial Avenue,1615,,Terminated,Building,0,2017,,,31.5471527,-97.1625946,,,,,,,,,,,
0124C,Greenhouse F4,GH F4,201-C Garden Lane,1707,Owned,Active,Building,1973,44,,,31.6599503,-97.474517,,,,,,,,,,,
2520,University Bookstore Warehouse,OM2520,401 Industrial Park Drive,0,,Active,Other,0,2017,,,32.254651,-90.150862,,,,,,,,,,,
2325,Teske Building,,1100 South Main Street,700,,Terminated,Building,0,2017,,,32.2983903,-106.7808299,,,,,,,,,,,
732,Warehouse At Dozier Farm,,Dozier Farm,1782,,Terminated,Building,0,2017,,,32.411529,-86.1453153,,,,,,,,,,,
2281,Alexandria Architecture Center Iii,,901 Prince Street,5000,,Terminated,Building,0,2017,,,32.4353401,-80.6718946,,,,,,,,,,,
71,Resident Manager,SPCRM,3220 Oak Lane,1035,Owned,Active,Building,1990,27,,,32.448521,-96.980909,,,,,,,,,,,
2320,Cpap 2,CPAP2,201 Wall Street,2840,,Terminated,Building,0,2017,,,32.5005678,-93.7337026,,,,,,,,,,,
123,Food Science And Technology Laboratory,FST,360 Duck Pond Drive,45678,Owned,Active,Building,1968,49,,,32.5357224,-81.8120468,,,,,,,,,,,
246,I-Lot Shack,,403 Duck Pond Drive,175,,Demolished,Structure,1972,45,,,32.5357848,-81.8126583,,,,,,,,,,,
142,Infectious Disease Research Facility,IDRF,295 Duck Pond Drive,15707,Owned,Active,Building,2011,6,,,32.5357926,-81.8111543,,,,,,,,,,,
140,Vet Med Phase 1,VM 1,285 Duck Pond Drive,35960,Owned,Active,Building,1981,36,,,32.5358186,-81.8110173,,,,,,,,,,,
148,Vet Med Phase 4a [Large Animal Isolation],VM 4,285 Duck Pond Drive,1774,Owned,Active,Building,1990,27,,,32.5358186,-81.8110173,,,,,,,,,,,
0146A,Vet Med Phase 4c [Large Animal Hospital],VM4C2,285 Duck Pond Drive,8323,Owned,Active,Building,1994,23,,,32.5358186,-81.8110173,,,,,,,,,,,
0146C,Vet Med Hay Barn,VM4C4,285 Duck Pond Drive,1916,Owned,Active,Building,1997,20,,,32.5358186,-81.8110173,,,,,,,,,,,
144,Metal Barn,MC0144,285 Duck Pond Drive,2592,Owned,Active,Building,2000,17,,,32.5358186,-81.8110173,,,,,,,,,,,
141,Dry Rendering Facility,DRF,285 Duck Pond Drive,4900,Owned,Active,Building,2002,15,,,32.5358186,-81.8110173,,,,,,,,,,,
147,Vet Med Phase 4b,VM 4B,225 Duck Pond Drive,7508,Owned,Active,Building,1990,27,,,32.5358368,-81.8102071,,,,,,,,,,,
146,Vet Med Phase 4c [Non-Client Animal],VM4C1,225 Duck Pond Drive,35884,Owned,Active,Building,1995,22,,,32.5358368,-81.8102071,,,,,,,,,,,
149,Vet Med Phase 3,VM 3,245 Duck Pond Drive,66640,Owned,Active,Building,1983,34,,,32.5358395,-81.8104881,,,,,,,,,,,
145,Vet Med Phase 4d,VM 4D,245 Duck Pond Drive,3822,Owned,Active,Building,1993,24,,,32.5358395,-81.8104881,,,,,,,,,,,
0150A,Vet Med Instructional Addition,VMIA,215 Duck Pond Drive,24165,Owned,Active,Building,2012,5,Silver,2013,32.5358492,-81.8100671,,,,,,,,,,,
0185T,First Base Baseball Dugout,DUG 1,260 Duck Pond Drive,738,Owned,Active,Building,1984,33,,,32.5358568,-81.8106842,,,,,,,,,,,
0185U,Third Base Baseball Dugout,DUG 3,260 Duck Pond Drive,738,Owned,Active,Building,1984,33,,,32.5358568,-81.8106842,,,,,,,,,,,
0185D,English Field At Union Park,ENGLF,260 Duck Pond Drive,2453,Owned,Active,Building,1996,21,,,32.5358568,-81.8106842,,,,,,,,,,,
0185V,Baseball Stadium,BBSTAD,260 Duck Pond Drive,42170,Owned,Planning/Permitting,Building,2018,-1,,,32.5358568,-81.8106842,,,,,,,,,,,
150,Vet Med Phase 2,VM 2,205 Duck Pond Drive,70790,Owned,Active,Building,1983,34,,,32.5358671,-81.8099278,,,,,,,,,,,
510,Agronomy Equipment Shed,AGRON,1008-D Old Mill Road,2960,Owned,Active,Building,1957,60,,,32.6026913,-85.4603397,,,,,,,,,,,
390,Duck Pond Gazebo,DPGAZ,806 Duck Pond Drive,547,Owned,Active,Building,1989,28,,,32.6463072,-97.0151893,,,,,,,,,,,
180,Squires Student Center,SQUIR,290 College Avenue,235248,Owned,Active,Building,1969,48,,,32.7422225,-97.3346136,,,,,,,,,,,
0262A,Architecture Studio,,207 College Avenue,0,,Terminated,Building,0,2017,,,32.742586,-97.334363,,,,,,,,,,,
262,Architecture Studio,,207 College Avenue,0,,Terminated,Building,0,2017,,,32.742586,-97.334363,,,,,,,,,,,
,,,San Diego CA 92115,,,,,0,2017,,,32.7612759,-117.0735241,,,,,,,,,,,
2298,Smeekens,,4734 Soria Drive,425,,Terminated,Building,1936,81,,,32.7635556,-117.0679925,,,,,,,,,,,
2310,Luna Innovations,,2851 Commerce Street,500,,Terminated,Building,0,2017,,,32.7834482,-96.7820814,,,,,,,,,,,
2405,Sterrett-Commerce Street,STCOM,3103 Commerce Street,7800,Leased,Active,Building,0,2017,,,32.7841315,-96.7783119,,,,,,,,,,,
350,Lumenhaus,LUMEN,1317 Perry Street,800,Owned,Active,Building,2009,8,,,32.813376,-96.9296326,,,,,,,,,,,
265,Graves Building,GBLDG,1601 South Main Street,3000,,Terminated,Building,0,2017,,,32.9062134,-97.2561274,,,,,,,,,,,
738,Vt / Carilion Medical School And Research Institute,VTC,2 Riverside Circle,211126,Owned,Active,Building,2010,7,,,32.9899394,-80.0264979,,,,,,,,,,,
2205,Security Self Storage,OM2205,202 South Hill,250,Leased,Active,Building,0,2017,,,33.2467202,-84.2634315,,,,,,,,,,,
0479B,Aluminum Sheep Feeder Barn,SFEED,2498 Plantation Road,3769,Owned,Active,Structure,1950,67,,,33.3504201,-82.0769065,,,,,,,,,,,
0479A,Smithfield Beef Barn,BEEF,2498 Plantation Road,9201,Owned,Active,Building,1950,67,,,33.3504201,-82.0769065,,,,,,,,,,,
479,Milking Barn,MLKBN,2498 Plantation Road,2060,Owned,Active,Building,1952,65,,,33.3504201,-82.0769065,,,,,,,,,,,
480,Feeder Pen,FEEDP,2498 Plantation Road,1280,Owned,Active,Structure,1956,61,,,33.3504201,-82.0769065,,,,,,,,,,,
0480A,Metal Storage Building,MSB,2498 Plantation Road,559,Owned,Active,Structure,1956,61,,,33.3504201,-82.0769065,,,,,,,,,,,
0480B,Horse Barn,HORSE,2498 Plantation Road,1706,Owned,Active,Structure,1960,57,,,33.3504201,-82.0769065,,,,,,,,,,,
0479D,Barn,SM479D,2498 Plantation Road,1332,Owned,Active,Structure,1980,37,,,33.3504201,-82.0769065,,,,,,,,,,,
0479C,Wooden Shed,SM479C,2498 Plantation Road,1583,Owned,Active,Structure,1980,37,,,33.3504201,-82.0769065,,,,,,,,,,,
2215,Busch Johnson Enterprises,,2086 Williston Road,700,,Terminated,Building,0,2017,,,33.3925159,-81.7184298,,,,,,,,,,,
2270,Psychology Exercise Training,,1208 North Main Street,665,,Terminated,Building,0,2017,,,33.4059626,-104.5231839,,,,,,,,,,,
330,Residence,LC0330,555 Plantation Road,1227,Owned,Active,Building,1957,60,,,33.4099529,-84.0630692,,,,,,,,,,,
0553A,Equitation Barn,EQBRN,499 Plantation Road,5876,Owned,Active,Building,1997,20,,,33.4132014,-84.0633853,,,,,,,,,,,
2007,Willow Properties,,3862 North Main Street,2150,,Terminated,Building,0,2017,,,33.4456663,-104.5233037,,,,,,,,,,,
,,,Aiken SC 29803,,,,,0,2017,,,33.4551831,-81.7568253,,,,,,,,,,,
2360,Harbor View,,Harbor View,300,,Terminated,Building,0,2017,,,33.4562659,-84.7729129,,,,,,,,,,,
381,Human And Agricultural Biosciences Building 1,HABB1,1230 Washington Street Sw,93860,Owned,Active,Building,2013,4,Gold,2015,33.5960838,-83.8622758,,,,,,,,,,,
0185Q,Soccer Restrooms,SREST,867-D Washington Street Sw,2220,Owned,Active,Building,2006,11,,,33.5960949,-83.8594106,,,,,,,,,,,
38,Cochrane Hall,CHRNE,770 Washington Street Sw,91415,Owned,Active,Building,1983,34,,,33.5961062,-83.8596042,,,,,,,,,,,
68,Special Purpose Housing - Building H,SPC H,3205 Oak Lane,9300,Owned,Active,Building,1990,27,,,33.7141259,-78.8639579,,,,,,,,,,,
121,Life Sciences I Facility,LFSCI,970 Washington Street Sw,71799,Owned,Active,Building,2008,9,,,33.7283167,-84.3906976,,,,,,,,,,,
194,Smith Career Center,SM CC,870 Washington Street Sw,21735,Owned,Active,Building,2004,13,,,33.7311469,-84.3909261,,,,,,,,,,,
