Building Num.,Building Name,Address,GSF,Status,Construction Date,Construction Cost,Renovation Date,Renovation Cost,Age,FCI,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,
,Kentucky VMA Barn - Equine,1500-D Wire Rd,"4,742",,2003,,,,14,,,,,,,,,,,,,,,
,Kinesiology Building,301 Wire Rd,"65,558",,2013,,,,4,,,,,,,,,,,,,,,
,Knapp Residence Hall (Dorm H),302 P.O. Davis Dr,"34,533",,1967,,,,50,,,,,,,,,,,,,,,
,Kreher Forest Ecology Preserve,,,,,,,,2017,,,,,,,,,,,,,,,
,"Laboratory, Avian",395 Woodfield Dr,"4,929",,1990,,,,27,,,,,,,,,,,,,,,
,"Laboratory, Bee",952 Bee Lab Rd,"2,697",,,,,,2017,,,,,,,,,,,,,,,
,"Laboratory, Incubation",395-B Woodfield Dr,"1,038",,1992,,,,25,,,,,,,,,,,,,,,
,"Laboratory, Linear Accelerator",632 Bovine Dr,"2,084",,1995,,,,22,,,,,,,,,,,,,,,
,"Laboratory, Pesticide Research",381 Research Rd,"7,092",,1967,,,,50,,,,,,,,,,,,,,,
,"Laboratory, Waste Research",305 Shug Jordan Pkwy,"1,531",,1996,,,,21,,,,,,,,,,,,,,,
,Lambda Chi Alpha,266 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Lane House,620 Wire Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Lane Residence Hall (Dorm 07),301 Quad Dr,"23,834",,1952,,,,65,,,,,,,,,,,,,,,
,Langdon Annex,151 Engineering Dr,"11,287",,1905,,,,112,,,,,,,,,,,,,,,
,Langdon Hall,152 S College St,"12,159",,1846,,,,171,,,,,,,,,,,,,,,
,Langdon Steam Plant,149 Engineering Dr,"2,690",,1947,,,,70,,,,,,,,,,,,,,,
,Large Animal Isolation Facility,675 Bovine Dr,"2,766",,1997,,,,20,,,,,,,,,,,,,,,
,Leach Science Center,380 Duncan Dr,"63,202",,1960,,2017,"24,000,000",57,,,,,,,,,,,,,,,
,Leischuck Residence Hall (Dorm L),501 Duncan Dr,"31,192",,1994,,,,23,,,,,,,,,,,,,,,
,Little Residence Hall (Dorm 03),304 Quad Dr,"27,296",,1938,,,,79,,,,,,,,,,,,,,,
,Lowder Business Building,405 W Magnolia Av,"160,566",,1992,,,,25,,,,,,,,,,,,,,,
,Lowder Student Athlete Dev Cent.,394 S Donahue Dr,"51,441",,2005,,,,12,,,,,,,,,,,,,,,
,Lupton Residence Hall (Dorm 08),300 Roosevelt Conc,"30,510",,1952,,,,65,,,,,,,,,,,,,,,
,M Residence Hall (Dorm M),282 P.O. Davis Dr,"31,180",,1994,,,,23,,,,,,,,,,,,,,,
,Magnolia Hall (The Village),201-E Wire Rd,"107,088",,2009,,,,8,,,,,,,,,,,,,,,
,Mailroom Building,571 War Eagle Way,"2,083",,2011,,,,6,,,,,,,,,,,,,,,
,Marriage and Family Therapy Center,312 Quad Dr,"3,489",,1939,,,,78,,,,,,,,,,,,,,,
,Martin Aquatics Center,664 Biggio Dr,"86,290",,1969,,,,48,,,,,,,,,,,,,,,
,Mary Martin Hall,211 W Thach Av,"40,698",,1910,,,,107,,,,,,,,,,,,,,,
,McClary Barn - Dairy Hospital,1500-G Wire Rd,"5,516",,2005,,,,12,,,,,,,,,,,,,,,
,McWhorter Center (Women's Sports),703 W Samford Av,"33,441",,1999,,,,18,,,,,,,,,,,,,,,
,Miller Gorrie Center - Building Science,270 W Samford Av,"37,278",,2006,,,,11,,,,,,,,,,,,,,,
,Miller Hall,402 Thach Conc,"25,240",,1952,,,,65,,,,,,,,,,,,,,,
,Mises Institute,,,,,,,,2017,,,,,,,,,,,,,,,
,MRI Research Building,560 Devall Dr,"48,306",,2010,,,,7,,,,,,,,,,,,,,,
,Nichols Center,188 S Donahue Dr,"33,709",,1986,,,,31,,,,,,,,,,,,,,,
,Norman Residence,747 Wire Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Oak Hall (The Village),201-F Wire Rd,"108,868",,2009,,,,8,,,,,,,,,,,,,,,
,Office of Technology Transfer,570 Devall Drive,"43,667",,,,,,2017,,,,,,,,,,,,,,,
,"Office, (ADS)/ Main Feed Bldg",,,,,,,,2017,,,,,,,,,,,,,,,
,"Office, Turf Gras",,,,,,,,2017,,,,,,,,,,,,,,,
,OIT Building,300 Lem Morrison Dr,"63,948",,2011,,,,6,,,,,,,,,,,,,,,
,Omega Tau Sigma,1585 Wire Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Orr Vinery,271 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Outdoor Pool House,681 Heisman Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Owen Residence Hall (Dorm 10),330 Roosevelt Conc,"23,832",,1956,,,,61,,,,,,,,,,,,,,,
,Parker Hall,371 Roosevelt Conc,"90,251",,1963,,,,54,,,,,,,,,,,,,,,
,"Parking Deck, Draughon Library",182 Roosevelt Dr,"148,658",,1988,,,,29,,,,,,,,,,,,,,,
,"Parking Deck, South Donahue",,,,,,,,2017,,,,,,,,,,,,,,,
,Parking Services,330 Lem Morrison Dr,"218,135",,2011,,,,6,,,,,,,,,,,,,,,
,Pasco Building,,,,,,,,2017,,,,,,,,,,,,,,,
,Pat Dye Field,251 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Paterson Greenhouses,,,,,,,,2017,,,,,,,,,,,,,,,
,Pavilion - Agricultural Heritage Park,620-A S Donahue Dr,"3,676",,2005,,,,12,,,,,,,,,,,,,,,
,Pebble Hill (Scott Yarborough),101 N. Debardeleben St,"4,026",,,,,,2017,,,,,,,,,,,,,,,
,Peet (Telfair B.) Theatre,350 W Samford Av,"61,209",,1972,,,,45,,,,,,,,,,,,,,,
,Pesticide Storage Bldg (Hort),450-S Duncan Dr,384,,1982,,,,35,,,,,,,,,,,,,,,
,Petrie Hall,371 Thach Conc,"21,697",,1939,,,,78,,,,,,,,,,,,,,,
,Pharmaceutical Research Building,720 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Phi Gamma Delta,275 S College St,,,,,,,2017,,,,,,,,,,,,,,,
,Phi Kappa Psi,320 W. Magnolia Ave.,,,,,,,2017,,,,,,,,,,,,,,,
,Phi Kappa Tau,841 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Phi Sigma Kappa,140 Toomer St.,,,,,,,2017,,,,,,,,,,,,,,,
,Pi Kappa Alpha,840 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Pi Kappa Phi,861 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Pi Kappa Phi,861 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Pi Kappa Phi Activities Bldg,861 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Plainsman Hall (The Village),201-B Wire Rd,"60,779",,2009,,,,8,,,,,,,,,,,,,,,
,Plainsman Park,351 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
