Number,Building Name,Construction Date,Age,Occupancy Date,Construction Type,Stories,Usage,Gross SqFt.,Address,X,Y,LEED Building,LEED Building Year,,,,,,,,,,,
50112700,Biology Field Station Bunkhouse,1960,57,1/1/01,Wood frame,1,Ac,737,130 Tudor Road,40.857013,-73.08008,,,,,,,,,,,,,
50111900,Biology Field Stations Building and Dwelling,1958,59,1/1/04,Wood frame,1,Ac,4072,198 Tudor Road,42.2841295,-71.2114504,,,,,,,,,,,,,
50160600,Biosystems Engineering and Soil Science Labs Building,1983,34,,Masonry frame w,2,Ac,49974,2500 E J Chapman Drive,35.9489865,-83.9410981,,,,,,,,,,,,,
50160700,Biosystems Engineering and Soil Sciences Office Building,1940,77,,Steel frame w/,4,Ac,17106,2506 E J Chapman Drive,35.9487706,-83.9405595,,,,,,,,,,,,,
50111100,Black Cultural Center,2002,15,,,2,Sup,14713,1800 Melrose Avenue,39.9784253,-75.3282813,,,,,,,,,,,,,
50110700,Blount Hall,1975,42,,"Concrete, reinf",5,Ac,40604,1534 White Avenue,42.5109816,-89.0177506,,,,,,,,,,,,,
50143900,Boathouse,1975,42,,,2,Aux,10294,900 Neyland Drive,35.9555589,-83.9219426,,,,,,,,,,,,,
50161200,Brehm Animal Science Building,2012,5,,,0,Ac,111651,2506 River Dr,41.5137204,-90.5006446,,,,,,,,,,,,,
50136910,Brenda Lawson Athletic Center,2005,12,,,4,Aux,45648,1551 Lake Loudoun Boulevard,35.9503669,-83.9265357,,,,,,,,,,,,,
50117000,Burchfiel Geography Building,1999,18,,Steel frame w/,5,Ac,34189,1000 Phillip Fulmer Way,35.9565942,-83.9275016,,,,,,,,,,,,,
50144400,Burlington Building,,2017,,,1,Ac,4012,4614 Ashville Highway,36.0040816,-83.8595272,,,,,,,,,,,,,
50126300,Business Incubator,2007,10,6/1/07,,2,Sup,16200,2450 E.J. Chapman Drive,35.9471539,-83.9394411,,,,,,,,,,,,,
50164900,Butler Building,1948,69,,"Steel, quonset",1,Ac,740,2618 Morgan Circle Drive,35.9486763,-83.9422633,,,,,,,,,,,,,
50430300,Capital Boulevard Building Annex,1975,42,,,0,,15607,226 Capitol Boulevard,36.1633164,-86.7822638,,,,,,,,,,,,,
50430200,Capitol Blvd Building,1975,42,,,1,,3802,226 Capitol Boulevard,36.1633164,-86.7822638,,,,,,,,,,,,,
50118300,Carriage House,1881,136,,Masonry frame w,2,Sup,3424,1410 White Avenue,42.5108775,-89.0192972,,,,,,,,,,,,,
50122800,Carrick Hall North,1966,51,,"Concrete, reinf",14,Aux,111472,1021 Frances Street,40.2835638,-78.8656242,,,,,,,,,,,,,
50123100,Carrick Hall South,1966,51,,"Concrete, reinf",0,Aux,119950,1023 Frances Street,42.2370681,-84.4035036,,,,,,,,,,,,,
50169600,Central Greenhouse,2008,9,,,1,Ac,9994,2402 E.J. Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50168100,Ceramics Annex,1920,97,,Masonry frame w,2,Ac,2799,2610 Morgan Circle,35.9485841,-83.942206,,,,,,,,,,,,,
50113000,Ceramics Building,1982,35,,"Concrete, reinf",1,Ac,5591,1719 Volunteer Boulevard,35.9518692,-83.9297185,,,,,,,,,,,,,
50144900,Chi Omega Sorority,2012,5,,,3,,17716,2630 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50122400,Clarence Brown Theatre,1968,49,,"Concrete, reinf",4,Ac,55711,1714 Andy Holt Avenue,35.9532168,-83.9306285,,,,,,,,,,,,,
50110400,Clock Tower,1992,25,,,0,Sup,1,Blvd at Andy Holt Avenue,35.9489978,-83.9373736,,,,,,,,,,,,,
50121800,College of Nursing,1973,44,,"Concrete, reinf",5,Ac,41807,1200 Volunteer Boulevard,35.9538781,-83.9272771,,,,,,,,,,,,,
50113300,Communications and University Extension Building,1966,51,,"Concrete, reinf",5,Ac,110000,1345 Circle Park,30.1731487,-81.7008991,,,,,,,,,,,,,
50142900,Conference Center Building,1954,63,12/19/89,Steel frame w/,5,Sup,261699,600 Henley Street,35.9624123,-83.9212049,,,,,,,,,,,,,
50166100,CRC - Bioenergy Science and Technology Unit,2001,16,,,2,Ac,10138,2500 Jacob Drive,40.31004,-76.001513,,,,,,,,,,,,,
50166000,CRC - Material Science and Technology Unit,2001,16,,,2,Ac,15528,2506 Jacob Drive,40.310128,-76.002357,,,,,,,,,,,,,
50168500,Crops Genetic Laboratory,1935,82,,"Concrete, reinf",3,Ac,5728,2644 Morgan Circle Drive,35.9489567,-83.942493,,,,,,,,,,,,,
50113100,Dabney-Buehler Hall,1929,88,,"Concrete, reinf",14,Ac,247049,1416 Circle Drive,44.228192,-88.406409,,,,,,,,,,,,,
50145800,Delta Delta Delta Sorority,2012,5,,,3,Aux,18000,2620 Ann Baker Furrow Blvd.,35.951079,-83.9440821,,,,,,,,,,,,,
50146000,Delta Gamma Sorority,2013,4,,,3,Aux,14300,2906 Sorority Village Circle,35.949856,-83.945463,,,,,,,,,,,,,
50115400,Delta Tau Delta Fraternity House,1965,52,,"Concrete, lift-",3,Aux,12440,1844 Fraternity Park Drive,35.9483573,-83.933267,,,,,,,,,,,,,
50145700,Delta Zeta Sorority,2012,5,,,3,Aux,14900,3018 Sorority Village Circle,35.951079,-83.9440821,,,,,,,,,,,,,
50113900,Dougherty Engineering Building,1961,56,,"Concrete, reinf",8,Ac,129134,1512 Middle Drive,35.9577623,-83.9239967,,,,,,,,,,,,,
50117500,Dunford Hall,1963,54,,"Concrete, reinf",8,Sup,84456,915 Volunteer Boulevard,35.956246,-83.930809,,,,,,,,,,,,,
50123400,Early Learning Center,2007,10,8/20/07,Wood frame,1,Ac,3479,2010 Lake Avenue,40.6193564,-74.3422988,,,,,,,,,,,,,
50118100,Early Learning Center - Research & Practice,1937,80,,Masonry frame w,3,Ac,7810,1206 White Avenue,35.9597565,-83.9261612,,,,,,,,,,,,,
50116900,Earth and Planetary Sciences Building,1929,88,,"Concrete, reinf",6,Ac,44677,1412 Circle Drive,35.9568587,-83.9249236,,,,,,,,,,,,,
50123610,East Skybox & Pressbox,2000,17,,Other structura,0,Aux,65523,1425 South Stadium Drive,34.7600299,-96.6611682,,,,,,,,,,,,,
50162300,Ellington Plant Sciences Building,1966,51,,Steel frame w/,5,Ac,81082,2431 Joe Johnson Drive,35.9473971,-83.9400266,,,,,,,,,,,,,
50166200,Environment & Landscape Laboratory,2001,16,,,1,Ac,7621,2512 Jacob Drive,40.310372,-76.00304,,,,,,,,,,,,,
50127500,Environmental Health and Safety - 2111 Terrace,1940,77,,Wood frame w/ b,3,Sup,3782,2111 Terrace Avenue,30.436741,-91.1664579,,,,,,,,,,,,,
50114100,Estabrook Hall,1898,119,,Masonry frame w,5,Ac,57455,1012 Estabrook Road,35.9555845,-83.9237826,,,,,,,,,,,,,
50170700,ETREC Johnson Animal Research Building,1998,19,,Steel frame w/,3,Ac,50047,1750 Alcoa Highway,35.9396343,-83.948914,,,,,,,,,,,,,
50128000,Facilities Services Complex,1908,109,,"Concrete, reinf",2,Sup,96310,2040 Sutherland Avenue,35.958897,-83.9487959,,,,,,,,,,,,,
50114900,Ferris Hall,1930,87,,"Concrete, reinf",6,Ac,48387,1508 Middle Drive,26.4315349,-82.0545858,,,,,,,,,,,,,
50139700,Fibers & Composites Manufacturing Facility & Eng. Annex,1990,27,,Steel frame w/,2,Sup,16056,1321 White Avenue,42.5110348,-89.0208395,,,,,,,,,,,,,
50141000,Fireproof Storage,1975,42,,"Steel, quonset",0,Aux,9000,Randolph Street,42.3325171,-83.0437265,,,,,,,,,,,,,
50120200,Fleet Management,1966,51,,"Steel, quonset",1,Sup,15052,1201 UT Drive,35.9487965,-83.935015,,,,,,,,,,,,,
50161300,Food Safety and Processing Building,1948,69,,Steel frame w/,3,Ac,22791,2600 River Dr.,41.513314,-90.497876,,,,,,,,,,,,,
50161400,Food Science and Technology Building,2012,5,12/15/12,,4,,35449,2510 River Dr.,41.5137334,-90.5005293,,,,,,,,,,,,,
50169400,Forest Genetics Greenhouse (17),1992,25,5/1/92,Masonry frame w,1,Ac,2359,2408 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50113500,Frank G. Clement Hall,1964,53,,"Concrete, reinf",10,Aux,162637,1629 West Cumberland Avenue,36.6073632,-83.7127614,,,,,,,,,,,,,
50119500,Frank H. McClung Museum of Natural History and Culture,1960,57,,Steel frame w/,3,Aux,38574,1327 Circle Park,35.952298,-83.926407,,,,,,,,,,,,,
50112100,Fred D. Brown Jr. Residence Hall,,2017,,,0,Aux,240000,1817 Andy Holt Avenue,35.9529212,-83.9323388,LEED,,,,,,,,,,,,
50144100,Glazer Building,1975,42,,,1,Sup,28434,1201 Oak Ridge Turnpike,36.0165292,-84.2494435,,,,,,,,,,,,,
50144600,Golf Team Facility,2014,3,,,1,,3000,2045 ALcoa Highway,35.933652,-83.950185,,,,,,,,,,,,,
50124000,Goodfriend Tennis Center,1991,26,,Steel frame w/,2,Aux,66034,1015 20th Street,42.2567819,-89.057868,,,,,,,,,,,,,
50163800,Greenhouse #10,1974,43,,Steel frame w/,1,Ac,1970,2426 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50163500,Greenhouse #13,1974,43,,Steel frame w/,0,Ac,2890,2426 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50165800,Greenhouse #14 (Plastic),1977,40,1/1/77,"Steel, quonset",1,Ac,3501,2414 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50165600,Greenhouse #15 (Hydroponic),1978,39,,Other structura,1,Ac,145,2412 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50169200,Greenhouse #16 (Plastic),1985,32,1/1/85,"Steel, quonset",1,Ac,2183,2410 E J Chapman Drive,35.9470916,-83.9395559,,,,,,,,,,,,,
50165700,Greenhouse Quonset (Plastic),1978,39,,"Steel, quonset",1,Ac,2400,Luck Lane,39.0604981,-77.5198775,,,,,,,,,,,,,
50162500,Greenhouse TVA,1936,81,,Masonry frame w,2,Ac,3607,2620 Morgan Circle Drive,35.9486977,-83.9422814,,,,,,,,,,,,,
50117100,Greve Hall,1954,63,,"Concrete, reinf",8,Sup,87383,821 Volunteer Boulevard,35.9567284,-83.9303932,,,,,,,,,,,,,
50121600,"Health, Physical Education, and Recreation Building",1967,50,,"Concrete, reinf",4,Ac,175230,1914 Andy Holt Avenue,35.9516129,-83.9332026,,,,,,,,,,,,,
50140300,Hearing and Speech Center,1960,57,,Steel frame w/,3,Sup,12471,1600 Peyton Manning Pass,35.9542314,-83.9261962,,,,,,,,,,,,,
50127100,Heavy Equipment Shop @ Steam Plant,1997,20,1/1/97,,1,Sup,2201,1617 Lake Loudon Boulevard,35.948593,-83.926378,,,,,,,,,,,,,
50117700,Henson Hall,1930,87,,"Concrete, reinf",5,Sup,30488,1618 West Cumberland Avenue,36.6073632,-83.7127614,,,,,,,,,,,,,
50111700,Hesler Biology Building and Greenhouse,1935,82,,"Concrete, reinf",8,Ac,125098,1406 Circle Drive,44.772027,-93.297453,,,,,,,,,,,,,
50119900,Hess Hall,1960,57,,"Concrete, reinf",11,Aux,221732,1720 Melrose Place,35.9540097,-83.932019,,,,,,,,,,,,,
50131700,Hopecote,1921,96,,Wood frame,3,Sup,4060,1820 Melrose Avenue,44.9652928,-93.4032267,,,,,,,,,,,,,
50125100,Howard H. Baker Jr.Center for Public Policy,2007,10,6/1/07,"Concrete, lift-",3,Sup,52944,1640 Cumberland Ave.,35.9563981,-83.9316843,,,,,,,,,,,,,
50118710,Humanities and Social Sciences Building,1965,52,,"Concrete, reinf",6,Ac,102849,1115 Volunteer Boulevard,35.9548261,-83.9288773,,,,,,,,,,,,,
50118730,Humanities and Social Sciences Parking Garage,1965,52,,"Concrete, reinf",2,Aux,93580,1115 Volunteer Boulevard,35.9548261,-83.9288773,,,,,,,,,,,,,
50123000,Humes Hall,1965,52,,"Concrete, lift-",9,Aux,114748,1911 Andy Holt Avenue,35.9517535,-83.9341193,,,,,,,,,,,,,
50920300,Hydrology Field Station,1975,42,,,0,Ac,1,,,,,,,,,,,,,,,,
50120600,International House,1996,21,,Masonry frame w,2,Sup,10662,1623 Melrose Place,32.34705,-90.299529,,,,,,,,,,,,,
50132100,Intramural Fields Maintenance Bldg,2013,4,,,1,Rec C,2192,3500 Sutherland Avenue,35.948082,-83.976627,,,,,,,,,,,,,
50132000,Intramurals - Central Building,2013,4,,,1,Rec C,4331,3500 Sutherland Avenue,35.948082,-83.976627,,,,,,,,,,,,,
50132200,Intramurals Pavilion,2013,4,,,1,Rec C,1614,3500 Sutherland Avenue,35.948082,-83.976627,,,,,,,,,,,,,
50112300,James A. Haslam II Business Building,1950,67,,"Concrete, reinf",5,Ac,184668,1000 Volunteer Boulevard,35.9557145,-83.9286403,,,,,,,,,,,,,
50119100,James D Hoskins Library,1930,87,,"Concrete, reinf",6,Sup,130282,1400 West Cumberland,35.3147964,-78.6235073,,,,,,,,,,,,,
50113800,Jane and David Bailey Education Complex,1983,34,,"Concrete, reinf",6,Ac,62129,1122 Volunteer Boulevard,35.95473,-83.928273,,,,,,,,,,,,,
50117900,Jessie W. Harris Building,1926,91,,"Concrete, reinf",6,Ac,85360,1215 Cumberland Avenue,39.77774,-84.2235058,,,,,,,,,,,,,
50978800,Jewel Building,,2017,,"Concrete, reinf",2,Ac,19591,525 North Gay Street,35.972028,-83.923549,,,,,,,,,,,,,
50128700,Joan Cronan Volleyball Practice Facility,2014,3,,,1,Aux,23300,2321 Stephenson Drive,35.9453557,-83.9311372,,,,,,,,,,,,,
50119200,John C Hodges Library,1966,51,,"Concrete, reinf",8,Sup,395956,1015 Volunteer Boulevard,35.955093,-83.9297859,,,,,,,,,,,,,
50112200,John D. Tickle Engineering Building,2013,4,8/1/13,,0,Ac,85000,851 Neyland Drive,35.95526,-83.922698,,,,,,,,,,,,,
50125700,Joint Institute for Advanced Materials,,2017,,Steel frame w/,4,Ac,130000,,,,Silver Pending,,,,,,,,,,,,
50125900,Joint Institute for Biological Science,2008,9,10/1/07,Steel frame w/,3,Ac,35558,Street; building 1520,38.6279622,-90.2033892,,,,,,,,,,,,,
50126100,Joint Institute for Computational Sciences,2004,13,12/1/05,Steel frame w/,2,Ac,51930,Ave; Bldg 5100,37.5790034,-77.5005542,,,,,,,,,,,,,
50117600,Joint Institute for Heavy Ion Research,1985,32,9/5/03,Masonry frame w,0,,7541,6000 MS 6-374,34.2913802,-90.1159422,,,,,,,,,,,,,
50126700,Joint Institute for Neutron Sciences,2010,7,11/29/10,,3,Ac,32470,"8630, Nanocenter Drive",,,,,,,,,,,,,,,
50116600,Kappa Alpha Fraternity House,2012,5,8/9/12,,2,Aux,7556,840 20th Street,34.0357506,-118.4886678,,,,,,,,,,,,,
50145600,Kappa Delta Sorority,2012,5,,,3,Aux,16000,2515 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50145500,Kappa Kappa Gamma Sorority,2012,5,,,3,Aux,12400,3010 Sorority Village Circle,35.951079,-83.9440821,,,,,,,,,,,,,
50116500,Kappa Sigma Fraternity House,2009,8,,,3,Aux,23592,1730 Melrose Place at Lake Avenue,35.9556337,-83.9318266,,,,,,,,,,,,,
50121100,Kingston Pike Building,1985,32,7/25/06,Steel frame w/,2,Sup,81803,2309 Kingston Pike,35.955732,-83.943947,,,,,,,,,,,,,
50923100,Knox Coliseum Storage Room,1975,42,,,0,Aux,1,500 Howard Baker Jr Avenue,35.965098,-83.911544,,,,,,,,,,,,,
50176900,Laboratory Animal Facility,1977,40,9/18/78,Masonry frame w,0,Ac,9243,1532 Cherokee Trail,33.0565521,-96.7228984,,,,,,,,,,,,,
50117400,Lake Ave Early Learning Ctr (2nd bldg),2011,6,10/26/11,,1,Ac,4539,2016 Lake Avenue,40.6191764,-74.3422092,,,,,,,,,,,,,
50130500,Lake Avenue Parking Garage,1999,18,9/30/00,Masonry frame w,6,Aux,288402,1818 Lake Avenue,41.08949,-85.1143126,,,,,,,,,,,,,
50115600,Lambda Chi Alpha Fraternity House,1965,52,,"Concrete, reinf",3,Aux,16297,1848 Fraternity Park Drive,35.9485151,-83.9335756,,,,,,,,,,,,,
50118830,Laurel Apts Pool House,2003,14,7/1/03,Masonry frame w,1,Aux,785,1615 Laurel Avenue,44.969309,-92.7348,,,,,,,,,,,,,
50118810,Laurel Residence Hall,1967,50,,"Concrete, reinf",15,Aux,293620,1615 Laurel Avenue,44.969309,-92.7348,,,,,,,,,,,,,
50118910,Law Complex: George C Taylor Wing,1949,68,,"Concrete, reinf",5,Ac,51975,1505 Cumberland Avenue,35.9581223,-83.9295683,,,,,,,,,,,,,
50118930,Law Complex: Law Library and Classroom Addition,1996,21,,"Concrete, reinf",5,Ac,124499,1505 Cumberland Avenue,35.9581223,-83.9295683,,,,,,,,,,,,,
50111400,Lindsey Nelson Stadium,1972,45,,"Concrete, reinf",3,Aux,43770,1511 Pat Head Summitt St,35.9501495,-83.9295956,,,,,,,,,,,,,
50117300,Massey Hall,1959,58,,"Concrete, reinf",10,Aux,135121,825 Volunteer Boulevard,35.9568538,-83.9300354,,,,,,,,,,,,,
50118720,McClung Tower and Plaza,1965,52,,"Concrete, reinf",17,Ac,95949,1115 Volunteer Boulevard,35.9548261,-83.9288773,,,,,,,,,,,,,
50160100,McCord Hall,1947,70,,Steel frame w/,6,Ac,43395,2640 Morgan Circle Drive,35.9486697,-83.9430401,,,,,,,,,,,,,
50119700,Melrose Hall,1946,71,,"Concrete, reinf",6,Sup,98111,1616 Melrose Avenue,42.3777812,-88.080471,,,,,,,,,,,,,
50138400,Middlebrook Building,1985,32,,Masonry frame w,2,Ac,111730,5723 Middlebrook Pike,35.9551919,-84.00934,,,,,,,,,,,,,
50118200,Min H. Kao Electrical Engineering & Computer Science,2011,6,1/11/12,,7,Ac,191425,1520 Middle Dr,35.9581779,-83.9245155,LEED,,,,,,,,,,,,
50160300,Morgan Hall,1921,96,,"Concrete, reinf",5,Ac,89836,2621 Morgan Circle Drive,35.9491144,-83.94204,,,,,,,,,,,,,
50120000,Morrill Hall,1967,50,,"Concrete, reinf",16,Aux,169036,1038 20th Street,35.951207,-83.9349984,,,,,,,,,,,,,
501-1,Mossman Building (13th and Cumberland),,,,,0,,0,0 Cumberland Avenue,43.667255,-70.2474997,,,,,,,,,,,,,
50144500,Natalie L. Haslam Music Center,2013,4,,,4,Ac,135134,1741 Volunteer Boulevard,35.9519665,-83.9307217,Silver,,,,,,,,,,,,
50144000,National Transportation Research Center,1975,42,,,2,Ac,13182,2360 Cherhala Boulevard,35.9544361,-84.1543992,,,,,,,,,,,,,
50136900,Neyland-Thompson Sports Center,1990,27,,,3,Aux,176194,1704 Johnny Majors Drive,35.9503329,-83.9297446,,,,,,,,,,,,,
50111200,Neyland Drive Biology Annex,2001,16,,,1,Ac,17356,901 Neyland Drive,35.9568441,-83.9210399,,,,,,,,,,,,,
50121700,Nielsen Physics Building,1960,57,,"Concrete, reinf",7,Ac,64357,1408 Circle Drive,33.590731,-85.8075343,,,,,,,,,,,,,
50163900,North Greenhouse,2011,6,10/1/11,,2,,1113,2428 E J Chapman Dr,35.9470916,-83.9395559,,,,,,,,,,,,,
50129200,Office of Equity and Diversity,1940,77,,Wood frame w/ b,4,Sup,7002,1840 Melrose Avenue,44.9650737,-93.4022672,,,,,,,,,,,,,
50138800,Orange Hall,2016,1,,,5,Aux,104670,858 20th Street,34.035372,-118.488347,,,,,,,,,,,,,
50218400,ORNL Bldg #8600 (MS 6476),,2017,,,0,,1,Box 2008,32.482171,-84.936007,,,,,,,,,,,,,
50139600,Outdoor Tennis Center Building,1978,39,,"Concrete, reinf",1,Aux,4724,1015 20th Street,42.2567819,-89.057868,,,,,,,,,,,,,
50121300,Panhellenic Building,1963,54,,"Concrete, reinf",4,Aux,54384,1531 Cumberland Avenue,35.9580013,-83.9301618,,,,,,,,,,,,,
50121900,Pasqua Nuclear Engineering Building,1925,92,,"Concrete, reinf",4,Ac,28338,1004 Estabrook Road,35.9590989,-83.9243752,,,,,,,,,,,,,
50128400,Pediatric Language Clinic,1940,77,,Wood frame,3,Ac,3037,909 Mountcastle Street,35.9534727,-83.9362296,,,,,,,,,,,,,
50142600,Pellissippi Research Building B,1975,42,11/1/86,Masonry frame w,1,Ac,19652,10521 Research Drive,35.921126,-84.138701,,,,,,,,,,,,,
50121500,Perkins Hall,1948,69,,"Concrete, reinf",6,Ac,80805,1506 Middle Drive,35.9565108,-83.9239641,,,,,,,,,,,,,
50115700,Phi Gamma Delta Fraternity House,1965,52,,"Concrete, reinf",3,Aux,14906,1836 Fraternity Park Drive,35.9478614,-83.9324228,,,,,,,,,,,,,
50115500,Phi Kappa Psi Fraternity House,1965,52,,"Concrete, reinf",3,Aux,10387,1804 Fraternity Park Drive,35.9497017,-83.9303795,,,,,,,,,,,,,
50145400,Phi Mu Sorority,2012,5,,,2,Aux,12000,2610 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50115800,Phi Sigma Kappa Fraternity House,1965,52,,"Concrete, reinf",3,Aux,13773,1800 Fraternity Park Drive,35.9499378,-83.9298892,,,,,,,,,,,,,
50113700,Philander P. Claxton Education Building,1956,61,,"Concrete, reinf",5,Ac,94498,1122 Volunteer Boulevard,35.95473,-83.928273,,,,,,,,,,,,,
50145900,Pi Beta Phi Sorority,2012,5,,,3,Aux,14000,3006 Sorority Village Circle,35.951079,-83.9440821,,,,,,,,,,,,,
50115900,Pi Kappa Alpha Fraternity House,1965,52,,"Concrete, reinf",3,Aux,14519,1820 Fraternity Park Drive,35.9493076,-83.932112,,,,,,,,,,,,,
50116400,Pi Kappa Phi Fraternity House,1965,52,,"Concrete, reinf",2,Aux,10021,1828 Fraternity Park Drive,35.9485257,-83.9316711,,,,,,,,,,,,,
50162400,Plant Biotechnology Building,2003,14,11/7/03,,6,Ac,147435,2505 E J Chapman Drive,35.9483514,-83.9410007,,,,,,,,,,,,,
50169500,Plant Propagation Building,1995,22,11/1/95,Other structura,1,Ac,3634,2405 Fletcher Luck Ln,35.947043,-83.9383673,,,,,,,,,,,,,
50161700,Plant Sciences Annex B,1951,66,,Steel frame w/,1,Ac,3357,2420 Fletcher Luck Lane,35.947043,-83.9383673,,,,,,,,,,,,,
