Building Num.,Building Name,Abbrev.,Address,GSF,Status,Construction Date,Rennovation,Age,Construction Cost,Renovation Cost,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,
1510,East Village Deck,,335 River Rd.,"272,650",active,,,2017,,,,,,,,,,,,,,,,
1033,Ecology,,140 E Green St,"44,792",active,,,2017,,,,,,,,,,,,,,,,
1632,Electronics Shop,,203 D. W. Brooks Dr.,"8,982",active,,,2017,,,,,,,,,,,,,,,,
2425,Entomology Greenhouse/Headhouse,,2502 Miller Plant Sciences,8.839,active,,,2017,,,,,,,,,,,,,,,,
,Environmental Design Studios,,225 West Broad Street,,active,,,2017,,,,,,,,,,,,,,,,
1050,Environmental Health Sciences,,206 Environmental Hlth Sci Bld,"22,258",active,,,2017,,,,,,,,,,,,,,,,
2238,Family Housing Office,,515 Baxter Street,"11,904",active,,,2017,,,,,,,,,,,,,,,,
1246,Family Science Center 1,,305 Sanford Dr.,"3,501",active,,,2017,,,,,,,,,,,,,,,,
1249,Family Science Center 2,,305 Sanford Dr.,"3,687",active,,,2017,,,,,,,,,,,,,,,,
60,Fine Arts Building,,255 Baldwin Street,"78,918",active,2015,,2,,,,,,,,,,,,,,,,
1685,Foley Baseball Stadium,,1 Rutherford Street,"42,324",active,1990,,27,,,,,,,,,,,,,,,,
1022,Food Processing Lab,,1109 Experiment Street,"5,718",active,,,2017,,,,,,,,,,,,,,,,
1020,Food Science Building,,100 Cedar St,"71,134",active,,2003,2017,,,,,,,,,,,,,,,,
1040,Forestry Resources 1,,180 East Green Street,"21,519",active,2012,,5,,,,,,,,,,,,,,,,
1140,Forestry Resources 2,,180 East Green Street,"14,655",active,2012,,5,,,,,,,,,,,,,,,,
1044,Forestry Resources 3,,180 East Green Street,"40,746",active,2012,,5,,,,,,,,,,,,,,,,
1046,Forestry Resources 4,,180 East Green Street,"49,125",active,2012,,5,,,,,,,,,,,,,,,,
5069,Founders Hall,,2450 S. Milledge Avenue,"2,904",active,1946,,71,,,,,,,,,,,,,,,,
2835,Four Towers,,400 River Road Athens,"26,827",active,,,2017,,,,,,,,,,,,,,,,
5,Franklin House,,480 East Broad Street,"12,740",active,,,2017,,,,,,,,,,,,,,,,
1002,Geography and Geology,,210 Field St.,"97,887",active,,,2017,,,,,,,,,,,,,,,,
,Geology Hydrothermal Lab,,815 S. Lumpkin St.,"2,442",active,,,2017,,,,,,,,,,,,,,,,
,George D. Busbee Hall,,365 River Road,,active,2004,,13,,,,,,,,,,,,,,,,
,Georgia Center for Cont. Ed,,"1197 S Lumpkin St,",,active,,,2017,,,,,,,,,,,,,,,,
1693,Georgia Museum of Art,,90 Carlton St,"54,817",active,,,2017,,,,,,,,,,,,,,,,
640,Gilbert Hall,,383 Gilbert Dr.,"60,405",active,,,2017,,,,,,,,,,,,,,,,
,Government Relations,,198 Waddell Street,,active,,,2017,,,,,,,,,,,,,,,,
1031,Hardman hall,,201 D. W. Brooks Dr.,"25,508",active,,,2017,,,,,,,,,,,,,,,,
4604,Headhouse Horticulture,,1111 Miller Plant Science Bldg.,"15,821",active,,,2017,,,,,,,,,,,,,,,,
3013,Headhouse Plants Agronomy,,3111 Carlton St,"6,340",active,,,2017,,,,,,,,,,,,,,,,
2622,Henry Feild Tennis Stadium,,516 D.W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
2214,Hill Hall,,810 Lumpkin Street,,active,,,2017,,,,,,,,,,,,,,,,
,Hirsch Hall,,225 Herty Drive,,active,,,2017,,,,,,,,,,,,,,,,
19,Hodgson Oil Building,,286 Oconee Street,"32,130",active,,2005,2017,,,,,,,,,,,,,,,,
1042,Hoke Smith Annex,,300 Carlton St.,"25,413",active,,,2017,,,,,,,,,,,,,,,,
1043,Hokie Smith Building,,,"21,012",active,,,2017,,,,,,,,,,,,,,,,
120,Holmes/Hunter Academic Building,,101 Herty Drive,"50,083",active,,,2017,,,,,,,,,,,,,,,,
2423,Horticulture Greenhouse 1,,2500 S Milledge Ave,"11,234",active,,,2017,,,,,,,,,,,,,,,,
2424,Horticulture Greenhouse 2,,2500 S Milledge Ave,"2,610",active,,,2017,,,,,,,,,,,,,,,,
1247,Housing Research Center,,407 Sanford Dr.,"4,500",active,,,2017,,,,,,,,,,,,,,,,
1691,Hugh Hodgson School of Music,,250 River Rd,"103,375",active,,,2017,,,,,,,,,,,,,,,,
82,Hull Steet Deck,,400 S Hull St.,"231,577",active,,,2017,,,,,,,,,,,,,,,,
620,Human Resources,,215 South Jackson Street,"12,154",active,,,2017,,,,,,,,,,,,,,,,
66,Instructional Plaza,,185 Baldwin Street,"27,832",active,,,2017,,,,,,,,,,,,,,,,
,Interior Design Studios,,257 West Broad Street,,active,2001,,16,,,,,,,,,,,,,,,,
,Intramural Fields Deck,,330 River Road,,active,,,2017,,,,,,,,,,,,,,,,
,Intramural Fields Equipment Shed,,110 Lake Herrick Dr.,,active,,,2017,,,,,,,,,,,,,,,,
2632,Intramural Fields Restrooms,,110 Lake Herrick Dr.,653,active,,,2017,,,,,,,,,,,,,,,,
2970,Intramural Tennis Pavilion,,160 Lake Herrick Dr.,"1,440",active,,,2017,,,,,,,,,,,,,,,,
1675,J.W Fanning Building,,1240 S Lumpkin St,"21,955",active,,,2017,,,,,,,,,,,,,,,,
,Jackson Street building,,285 S. Jackson St,,active,,,2017,,,,,,,,,,,,,,,,
1511,Joe Frank Harris Commons,,80 Carlton St.,"52,000 sq/ft",active,,,2017,,,,,,,,,,,,,,,,
250,Joseph E. Brown Hall,,595 South Lumpkin Street,"31,874",active,,,2017,,,,,,,,,,,,,,,,
62,Journalism Building,,164 Hooper St,"121,191",active,,,2017,,,,,,,,,,,,,,,,
,Judges Tower,,1150 S. Milledge Ave.,,active,,,2017,,,,,,,,,,,,,,,,
2233,Kappa Sigma Fraternity,,160 River Rd,"14,392",active,,,2017,,,,,,,,,,,,,,,,
2440,Lake Herrick Pavilion,,111 Lake Herrick Dr.,"4,948",active,,,2017,,,,,,,,,,,,,,,,
1694,Lamar Dodd School of Art,,270 River Rd,"17,000",active,,,2017,,,,,,,,,,,,,,,,
2414,Lath Greenhouse 3 Botony,,2502 Miller Plant Sciences,"3,724",active,,,2017,,,,,,,,,,,,,,,,
43,Law Library Annex,,225 Herty Drive,"133, 765",active,,,2017,,,,,,,,,,,,,,,,
53,LeConte Hall,,250 Baldwin St,"28,347",active,,,2017,,,,,,,,,,,,,,,,
,Learning Ally,,320 S Hull St,,active,,,2017,,,,,,,,,,,,,,,,
2604,Legion Pool,,802 S. Lumpkin St,"11,250",active,,,2017,,,,,,,,,,,,,,,,
1058,Life Sciences Fermentation Lab,,120 Green Street,"5,654",active,,,2017,,,,,,,,,,,,,,,,
2623,Lindsey Hopkins Indoor Tennis Stad.,,518 D.W. Brooks Dr,"32,037",active,,,2017,,,,,,,,,,,,,,,,
2208,Lipscomb Hall,,205 Baxter St,"33,277",active,,,2017,,,,,,,,,,,,,,,,
1012,Lumpkin House,,Lumpkin House,"6,697",active,1844,,173,,,,,,,,,,,,,,,,
632,Lustrat House,,230 S. Jackson Street,"5,372",active,,,2017,,,,,,,,,,,,,,,,
54,Main Library,,320 S Jackson St,"345,605",active,,,2017,,,,,,,,,,,,,,,,
1030,Marine Science,,325 Sanford Dr,"87,489",active,,,2017,,"935,000",,,,,,,,,,,,,,
1221,Mary Lyndon Hall,,305 Sanford Dr,"36,590",active,1937,2011,80,,"3,000,000",,,,,,,,,,,,,,
1515,McWhorter Hall,,355 River Road,"107,452",active,1967,2013,50,,,,,,,,,,,,,,,,
24,Meigs Hall,,106 Herty Dr,"14,175",active,1999,,18,,,,,,,,,,,,,,,,
2209,Mell Hall,,215 Baxter Street,"33,536",active,,,2017,,,,,,,,,,,,,,,,
670,Memorial Hall,,101 Sanford Drive,"74,757",active,1925,2012,92,,,,,,,,,,,,,,,,
1679,Men's Tennis Clubhouse,,520 D.W. Brooks Dr,"7,305",active,,,2017,,,,,,,,,,,,,,,,
61,Military Builidng Army ROTC,,265 Baldwin Street,"14,897",active,,,2017,,,,,,,,,,,,,,,,
271,Milledge Hall,,103 Hooper Street,"32,822",active,1921,,96,,,,,,,,,,,,,,,,
1061,Miller Plant Science,,3111 Carlton St,"160,255",active,,2011,2017,,,,,,,,,,,,,,,,
25,Moore College,,1 Herty Dr,"20,484",active,,2001,2017,,,,,,,,,,,,,,,,
2204,Morris Hall,,390 S. Lumpkin Street,"29,152",active,1957,2012,60,,,,,,,,,,,,,,,,
1222,Myers Hall,,1055 S. Lumpkin Street,"126,177",active,1953,2003,64,,"17,164,000",,,,,,,,,,,,,,
30,New College,,205 Herty Drive,"19,134",active,,,2017,,,,,,,,,,,,,,,,
122,North Campus Deck,,231 S. Jackson Street,"336,741",active,,,2017,,,,,,,,,,,,,,,,
,Office of Service Learning,,1242 1/2 Lumpkin Street,,active,,,2017,,,,,,,,,,,,,,,,
,Office of University Architects,,382 E Broad St,,active,,,2017,,,,,,,,,,,,,,,,
,Oglethorpe House,,160 University Ct,,active,1965,2014,52,,,,,,,,,,,,,,,,
2217,Oglethorpe Dining Commons,,160 University Ct,"93,536",active,1979,2011,38,,,,,,,,,,,,,,,,
130,Old College,,215 Herty Drive,"20,576",active,,2006,2017,,,,,,,,,,,,,,,,
,Omega Tau Sigma Fraternity,,501 D.W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
56,Park Hall,,200 Baldwin Street,"72,179",active,,,2017,,,,,,,,,,,,,,,,
1111,Paul D. Coverdell Center,,500 D. W. Brooks Dr,"172,180",active,2003,,14,,"40,000,000",,,,,,,,,,,,,,
270,Payne Hall,,101 Hooper Street,"42,406",active,,,2017,,,,,,,,,,,,,,,,
42,Peabody Hall,,290 S. Jackson Street,"25,681",active,1937,,80,,,,,,,,,,,,,,,,
1692,Performing Arts,,230 River Rd,"52,656",active,,,2017,,,,,,,,,,,,,,,,
,Performing Arts Complex Deck,,220 River Rd,,active,,,2017,,,,,,,,,,,,,,,,
1038,Pharmacy South,,240 W. Green St.,"100,000",active,,2012,2017,,,,,,,,,,,,,,,,
2206,Phi Delta Theta Fraternity,,130 Greek Park Circle,"12,045",active,,,2017,,,,,,,,,,,,,,,,
20,Phi Kappa Hall,,200 S. Jackson Street Athens,"5,059",active,,2005,2017,,,,,,,,,,,,,,,,
,Physical Plant Grounds,,1180 E Broad St,,active,,,2017,,,,,,,,,,,,,,,,
1641,Physical Plant Utility,,1180 E Broad St,"18,426",active,,,2017,,,,,,,,,,,,,,,,
1003,Physics Building,,220 Cedar St,"75,557",active,,,2017,,,,,,,,,,,,,,,,
2203,Pi Kappa Alpha Fraternity,,153 Tate Student Center,"18,863",active,,,2017,,,,,,,,,,,,,,,,
1013,Poultry Science,,110 Cedar St,"64,980",active,,,2017,,,,,,,,,,,,,,,,
2130,Printing Department,,210 River Rd,"24,206",active,,,2017,,,,,,,,,,,,,,,,
64,Psychology Building,,110 Hooper Street,"103,026",active,,,2017,,,,,,,,,,,,,,,,
1041,R.C. Wilson Pharmacy,,250 West Green Street,"102,899",active,,,2017,,,,,,,,,,,,,,,,
1690,Ramsey Center,,330 River Rd,"440,000 sq/ft.",active,1995,,22,,,,,,,,,,,,,,,,
280,Reed Hall,,105 Hooper St,"95,212",active,1953,1998,64,,,,,,,,,,,,,,,,
2417,Rhizotron Building,,College Station Rd,"1,461",active,,,2017,,,,,,,,,,,,,,,,
,Rhodes Animal Science Center A,,425 River Rd.,,active,1905,2012,112,,,,,,,,,,,,,,,,
1503,Rhodes Animal Science Center B,,425 River Rd.,"45,156",active,1905,2012,112,,,,,,,,,,,,,,,,
1502,Rhodes Animal Science Center C,,425 River Rd.,"27,767",active,1905,2012,112,,,,,,,,,,,,,,,,
2125,Riverbend Research Lab North,,110 Riverbend Rd,"52,469",active,,,2017,,,,,,,,,,,,,,,,
2418,Riverbend Research Lab South,,220 Riverbend Rd,"78,997",active,,,2017,,,,,,,,,,,,,,,,
2124,Riverbend Solvent Storage Bldg,,597 DW Brooks Drive,128,active,,,2017,,,,,,,,,,,,,,,,
2240,Rogers Road Apts M,,101 Rogers Rd,"39,955",active,1973,,44,,,,,,,,,,,,,,,,
2241,Rogers Road Apts N,,101 Rogers Rd,"39,955",active,1973,,44,,,,,,,,,,,,,,,,
2242,Roger Road Apts P,,101 Rogers Rd,"36,093",active,1973,,44,,,,,,,,,,,,,,,,
2243,Rogers Road Apts Q,,101 Rogers Rd,"36,093",active,1973,,44,,,,,,,,,,,,,,,,
2244,Rogers Road Apts R,,101 Rogers Rd,"36,093",active,1973,,44,,,,,,,,,,,,,,,,
2245,Rogers Road Apts S,,101 Rogers Rd,"36,093",active,1973,,44,,,,,,,,,,,,,,,,
1513,Rooker Hall,,385 River Road,"113,058",active,,,2017,,,,,,,,,,,,,,,,
2212,Russell Hall,,515 Baxter Street,"230,312",active,1967,2011 & 2018,50,,"44,500,000",,,,,,,,,,,,,,
,Russell Special Collections Building,,300 S. Hull Street,"115,000",active,2010,,7,,,,,,,,,,,,,,,,
1210,Rutherford Hall,,305 Cedar Street,"80,000",active,1939,2013,78,,,,,,,,,,,,,,,,
58,Sanford Hall,,312 Herty Drive,"37,845",active,1997,,20,,,,,,,,,,,,,,,,
,Sanford Stadium,,100 Sanford Dr,,active,1929,"1994, 2003, 2017",88,,63000000 (2017),,,,,,,,,,,,,,
,Saye Building,,,"8,407",active,,,2017,,,,,,,,,,,,,,,,
,School of Social Work Building,,279 Williams St,"37,000",active,,,2017,,,,,,,,,,,,,,,,
1621,Science Learning Center,,210 D. W. Brooks Drive,"122,500",active,2016,,1,,,,,,,,,,,,,,,,
1621,Science Library,,210 D. W. Brooks Drive,"96,876",active,,,2017,,,,,,,,,,,,,,,,
2680,Sculpture & Ceramics Studio,,215 S. Thomas Street,"11,856",active,,,2017,,,,,,,,,,,,,,,,
124,Sculpture Canopy,,215 Thomas Street,"1,024",active,,,2017,,,,,,,,,,,,,,,,
4112,Shop Building,,955 East Whitehall Rd.,168,active,,,2017,,,,,,,,,,,,,,,,
2220,Sigma Delta Tau Sorority,,525 Bloomfield St.,"10,056",active,,,2017,,,,,,,,,,,,,,,,
2291,Sigma Nu Fraternity,,150 River Road,"14,290",active,,,2017,,,,,,,,,,,,,,,,
1643,Snelling Dining Hall,,"200 W Green St,","38,140",active,,,2017,,,,,,,,,,,,,,,,
2409,Soil Buidling 2,,1109 Experiment St.,980,active,,,2017,,,,,,,,,,,,,,,,
2437,Soil Chemical & Equipment Bldg,,1109 Experiment St.,664,active,,,2017,,,,,,,,,,,,,,,,
2413,Soil Storage Building,,597 D. W. Brooks Dr.,1244,active,,,2017,,,,,,,,,,,,,,,,
2620,Soil Tillage Laboratory,,597 D. W. Brooks Dr.,1536,active,,,2017,,,,,,,,,,,,,,,,
1220,Soule Hall,,315 Sanford Drive,"30,555",active,1920,2012,97,,,,,,,,,,,,,,,,
1139,South Campus Deck,,100 Green St.,"402,272",active,,,2017,,,,,,,,,,,,,,,,
,Speirs Hall,,305 Sanford Dr,,active,,,2017,,,,,,,,,,,,,,,,
,Staff Training & Development,,315 South Thomas St.,,active,,,2017,,,,,,,,,,,,,,,,
1140,Statistics & Computer Services,,101 Cedar St,"55,082",active,,,2017,,,,,,,,,,,,,,,,
1654,Stegeman Coliseum,,100 Smith St,"232,406",active,1964,2010,53,"4,100,000","13,000,000",,,,,,,,,,,,,,
,Student Athlete Academic Center,,15 Rutherford St.,"123,900",active,2002,,15,,"44,000,000",,,,,,,,,,,,,,
123,Tanner Building,,199 Fulton Street,"14,183",active,1997,,20,,,,,,,,,,,,,,,,
69,Tate Center Parking Deck,,705 S. Lumpkin St,"200,000",active,,,2017,,,,,,,,,,,,,,,,
182,Tate Parking Deck Booths,,705 S. Lumpkin St,80,active,,,2017,,,,,,,,,,,,,,,,
672,Tate Student Center,,45 Baxter St,"112,592",active,,,2017,,,,,,,,,,,,,,,,
2207,Tau Epsilon Phi Fraternity,,125 Greek Park Circle,"8,664",active,,,2017,,,,,,,,,,,,,,,,
1670,Tennis Hall of Fame,,518 D.W. Brooks. Dr.,"4,997",active,,,2017,,,,,,,,,,,,,,,,
23,Terrell Hall,,210 S. Jackson St.,"27,058",active,,,2017,,,,,,,,,,,,,,,,
,Terry Hall,,310 Herty Drive,"146,000",active,2017,,,,,,,,,,,,,,,,,,
2606,Thomas Street Art Studio,,215 S. Thomas Street,"6,993",active,,,2017,,,,,,,,,,,,,,,,
2691,Thomas Street Sculpture,,215 S. Thomas Street,"11,856",active,,,2017,,,,,,,,,,,,,,,,
2600,Thomas Street South,,215 S. Thomas Street,"11,109",active,,,2017,,,,,,,,,,,,,,,,
1657,Treanor House,,1234 S. Lumpkin St.,"4,970",active,,,2017,,,,,,,,,,,,,,,,
1250,Tucker Hall,,310 E Campus Rd,"36,212",active,,,2017,,,,,,,,,,,,,,,,
1701,UGA Health Center,,55 Carlton St,"79,930",active,1998,,19,,,,,,,,,,,,,,,,
,UGA Real Estate Foundation,,1280 South Lumpkin Street,,active,,,2017,,,,,,,,,,,,,,,,
671,University Bookstore,,40 Baxter St,"61,506",active,,,2017,,,,,,,,,,,,,,,,
,University Village A,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village B,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village C,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village D,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village E,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village F,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village G,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village H,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village I,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village J,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village K,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
,University Village L,,College Station Road,,active,1964,,53,,,,,,,,,,,,,,,,
1514,Vandiver Hall,,375 River Road,"134,734",active,,,2017,,,,,,,,,,,,,,,,
1637,Vehicle Transportation & Maintencance,,1180 E Broad St,"16,786",active,,,2017,,,,,,,,,,,,,,,,
1084,Vet Med BioResources,,501 D.W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
,Vet Med Diagnostic Lab,,501 D.W Brooks Drive,"30,389",active,,,2017,,,,,,,,,,,,,,,,
,Vet Med Locomotive Diag. Ctr.,,2200 College Station Road,"1,560",active,,,2017,,,,,,,,,,,,,,,,
,Vet Medicine Barn,,2200 College Station Road,,active,,,2017,,,,,,,,,,,,,,,,
2371,Vet Medicine Pole Barn,,501 D. W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
,Vet Medicine Shop,,501 D. W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
2369,Vet Medicine Storage,,501 D. W. Brooks Drive,,active,,,2017,,,,,,,,,,,,,,,,
1066,Vet Medicine 10,,501 D. W. Brooks Drive,"7,036",active,,,2017,,,,,,,,,,,,,,,,
1067,Vet Medicine 11,,501 D. W. Brooks Drive,"12,433",active,,,2017,,"887,000",,,,,,,,,,,,,,
1072,Vet Medicine 2,,501 D. W. Brooks Drive,"2,653",active,,,2017,,,,,,,,,,,,,,,,
1680,Vet Medicine 5A,,501 D. W. Brooks Drive,397,active,,,2017,,,,,,,,,,,,,,,,
