CAMPUS,BLDGNAME,Address,LEVELS,GROSS_SF,NSF,ASF,CONSTRUCTYR,Construction Cost,AGE,BUILDING TYPE,,,,,,,,,,,,,,
Downtown Campus,Glycol Heating Plant #1,,1,"1,020",936,-,1976,,41,Building,,,,,,,,,,,,,,
Downtown Campus,Elizabeth Moore Hall,1507 University Avenue,6,"50,461","38,762","25,940",1928,,89,Building,,,,,,,,,,,,,,
Downtown Campus,Armstrong Hall,94 Beechurst Avenue,4,"65,557","55,292","39,284",1950,,67,Building,,,,,,,,,,,,,,
Downtown Campus,Brooks Hall,98 Beechurst Avenue,5,"119,711","90,394","57,002",1951,,66,Building,,,,,,,,,,,,,,
Downtown Campus,Woodburn Hall,1515 University Avenue,4,"55,742","41,635","29,114",1876,,141,Building,,,,,,,,,,,,,,
Downtown Campus,Martin Hall,1511 University Avenue,4,"24,777","19,243","12,664",1870,,147,Building,,,,,,,,,,,,,,
Downtown Campus,Chitwood Hall,1519 University Avenue,4,"20,081","15,564","8,925",1893,,124,Building,,,,,,,,,,,,,,
Downtown Campus,Oglebay Hall,1600 University Avenue,5,"65,119","48,564","30,103",1917,,100,Building,,,,,,,,,,,,,,
Downtown Campus,Electrical Substation,395 Evansdale Drive,1,"3,680","3,355",-,1999,,18,Building,,,,,,,,,,,,,,
Downtown Campus,Stansbury Hall,83 Beechurst Avenue,6,"93,348","73,631","62,219",1929,,88,Building,,,,,,,,,,,,,,
Downtown Campus,652 North High Street,652 North High Street,2,"2,720","2,302","1,930",1945,,72,Building,,,,,,,,,,,,,,
Downtown Campus,Walnut PRT Station,140 Walnut Street,2,"3,463","1,184",226,1976,,41,Building,,,,,,,,,,,,,,
Downtown Campus,Beechurst PRT Station,96 Beechurst Avenue,2,"3,240","2,078",236,1976,,41,Building,,,,,,,,,,,,,,
Downtown Campus,PRT Maintenance,99 Eighth Street,3,"12,278","11,764","10,370",1976,,41,Building,,,,,,,,,,,,,,
Downtown Campus,Knapp Hall,29 Beechurst Avenue,10,"51,429","44,492","31,551",1960,,57,Building,,,,,,,,,,,,,,
Downtown Campus,Glycol Heating Plant #2,,1,"1,335","1,190",-,1976,,41,Building,,,,,,,,,,,,,,
Downtown Campus,Arnold Apartments,345 Prospect Street,6,"89,628","74,714","59,307",1960,,57,Building,,,,,,,,,,,,,,
Downtown Campus,Business and Economics Building,1601 University Avenue,4,"101,470","73,882","44,547",1990,,27,Building,,,,,,,,,,,,,,
Downtown Campus,Daily Athenaeum Building,260 Prospect Street,2,"8,737","6,907","5,165",1993,,24,Building,,,,,,,,,,,,,,
Downtown Campus,Dadisman/Stalnaker RFL House,724 College Avenue,3,"4,777","3,713","2,906",1927,,90,Building,,,,,,,,,,,,,,
Downtown Campus,Arnold RFL House,648 Price Street,2,"4,216","3,348","3,104",1998,,19,Building,,,,,,,,,,,,,,
Downtown Campus,Life Sciences Building,53 Campus Drive,8,"197,071","168,795","100,477",2000,,17,Building,,,,,,,,,,,,,,
Downtown Campus,Summit Hall,211 Grant Avenue,1,"125,847","108,456","83,868",1965,,52,Building,,,,,,,,,,,,,,
Downtown Campus,Vandalia Hall Gold,Falling Run Road,5,"73,061","59,700","49,743",2006,,11,Building,,,,,,,,,,,,,,
Downtown Campus,Vandalia Hall Blue,Falling Run Road,6,"90,889","65,279","49,954",2006,,11,Building,,,,,,,,,,,,,,
Downtown Campus,One Waterfront Place,One Waterfront Place,6,"148,500","140,633","87,311",2000,,17,Building,,,,,,,,,,,,,,
Downtown Campus,University Place South Seneca Hall,University Avenue,10,"208,726","156,359","118,856",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,University Place North,University Avenue,10,"238,423","173,367","125,739",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,University Place Parking Garage,University Avenue,6,"175,281",-,-,2015,,2,Building,,,,,,,,,,,,,,
Downtown Campus,224 Spruce Street ( JAN ),224 Spruce Street ( JAN ),2,"9,799","8,675","7,299",1900,,117,Building,,,,,,,,,,,,,,
Downtown Campus,Ming Hsieh Hall,1600 University Avenue,2,"19,347","14,018","8,952",2006,,11,Building,,,,,,,,,,,,,,
Downtown Campus,650 Spruce,650 Spruce,2,"10,400",-,-,1900,,117,Building,,,,,,,,,,,,,,
Downtown Campus,Courtyard West,6200 Mid-Atlantic Drive,1,"4,346","3,792","2,742",2004,,13,Building,,,,,,,,,,,,,,
Downtown Campus,International House (Spruce House),544 Spruce Street,3,"10,352","9,935","7,352",1900,,117,Building,,,,,,,,,,,,,,
Downtown Campus,660 North High St. (Delta Tau Delta Fraternity House),660 North High St. (Delta Tau Delta Fraternity House),5,"11,042","8,873",-,1900,,117,Building,,,,,,,,,,,,,,
Downtown Campus,Honors Hall,250 Second Street,6,"92,391","80,161","63,040",2009,,8,Building,,,,,,,,,,,,,,
Downtown Campus,University Ave Pedestrian Bridge,University Ave Pedestrian Bridge,2,"1,549","1,154",-,2007,,10,Bridges,,,,,,,,,,,,,,
Downtown Campus,The Waterfront Marina,1 Waterfront Place,1,"4,191",-,-,2007,,10,Building,,,,,,,,,,,,,,
Downtown Campus,Marina Tower,48 Donley Street,3,"35,375","28,644","17,001",2009,,8,Building,,,,,,,,,,,,,,
Downtown Campus,Jackson Kelly Building,150 Clay Street,2,"16,566","14,279","9,411",2008,,9,Building,,,,,,,,,,,,,,
Downtown Campus,Downtown Facilities Support,1424 University Avenue,2,"20,502","19,264","19,045",1949,,68,Building,,,,,,,,,,,,,,
Downtown Campus,21 College Park Apts,Newton Avenue,4,"41,974","35,572","30,285",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,37 College Park Apts,Newton Avenue,4,"41,974","35,572","30,285",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,49 College Park Apts,Newton Avenue,4,"41,974","35,572","30,285",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,79 College Park Apts,Newton Avenue,4,"21,702","17,800","15,275",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,89 College Park Apts,Newton Avenue,4,"21,702","17,800","15,275",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,90 College Park Apts,Newton Avenue,4,"21,702","17,800","15,275",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,80 College Park Apts,Newton Avenue,4,"21,702","17,800","15,275",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,70 College Park Apts,Newton Avenue,4,"24,994","20,288","17,542",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,College Park Community Center,Newton Avenue,2,"5,191","4,418","3,555",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,48 College Park Apts,48 College Park Apts,4,"24,994","20,288","17,542",2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,College Park Maintenance Bldg,Newton Avenue,1,950,,,2014,,3,Building,,,,,,,,,,,,,,
Downtown Campus,University Place Townhomes South,University Avenue,2,"18,819",,,2015,,2,Building,,,,,,,,,,,,,,
Downtown Campus,University Place Townhomes North,University Avenue,2,"18,819",,,2015,,2,Building,,,,,,,,,,,,,,
Evansdale Campus,Facilities Management Building,975 Rawley Lane,3,"41,500",,,1966,,51,Building,,,,,,,,,,,,,,
Evansdale Campus,Center of Sustainable Design,,2,"3,238",,,1959,,58,Building,,,,,,,,,,,,,,
Evansdale Campus,HAZ-STOR #5,,1,210,,,2000,,17,Structure,,,,,,,,,,,,,,
Evansdale Campus,Physical Plant House,Route 119,4,"2,822",,,1942,,75,Building,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene House #3,University Avenue/Oakland,3,"3,288",,,1958,,59,Building,,,,,,,,,,,,,,
Evansdale Campus,Natural Gas Filling Station,,1,223,,,1990,,27,Structure,,,,,,,,,,,,,,
Evansdale Campus,Glycol Heating Plant #3,,1,"1,095",,,1976,,41,Building,,,,,,,,,,,,,,
Evansdale Campus,Glycol Heating Plant #4,,1,"1,780",,,1978,,39,Building,,,,,,,,,,,,,,
Evansdale Campus,PDC Building,,1,"6,149",,,1998,,19,Building,,,,,,,,,,,,,,
Evansdale Campus,Dr. Samy Elias Eng PRT Station,,1,"16,836",,,1976,,41,Building,,,,,,,,,,,,,,
Evansdale Campus,Agricultural Sciences Storage Bunker,,1,183,,,1966,,51,Building,,,,,,,,,,,,,,
Evansdale Campus,Bennett Tower,356 Evansdale Drive,11,"160,138",,,1965,,52,Building,,,,,,,,,,,,,,
Evansdale Campus,Lyon Tower,356 Evansdale Drive,9,"128,972",,,1965,,52,Building,,,,,,,,,,,,,,
Evansdale Campus,Braxton Tower,356 Evansdale Drive,11,"133,297",,,1968,,49,Building,,,,,,,,,,,,,,
Evansdale Campus,Brooke Tower,356 Evansdale Drive,10,"148,706",,,1968,,49,Building,,,,,,,,,,,,,,
Evansdale Campus,Blaney House (President's Home),948 Riverview Drive,4,"18,676",,,1960,,57,Building,,,,,,,,,,,,,,
Evansdale Campus,Maintenance/Repair Shop,,2,998,,,1954,,63,Building,,,,,,,,,,,,,,
Evansdale Campus,Percival Hall,355 Oakland Street,3,"107,984",,,1965,,52,Building,,,,,,,,,,,,,,
Evansdale Campus,Allen Hall,355 Oakland Street,7,"103,840",,,1969,,48,Building,,,,,,,,,,,,,,
Evansdale Campus,Agricultural Sciences Annex,359 Evansdale Drive,1,"33,011",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,Engineering Sciences Building,,14,"265,993",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,WVU Greenhouse,,2,"35,768",,,2011,,6,,,,,,,,,,,,,,,
Evansdale Campus,Creative Arts Center,300 Patteson Drive,5,"304,472",,,1966,,51,,,,,,,,,,,,,,,
Evansdale Campus,Coliseum,3450 Jerry West Boulevard,5,"377,542",,,1970,,47,,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene House #2,University Avenue/Oakland,3,"2,880",,,1950,,67,,,,,,,,,,,,,,,
Evansdale Campus,Aerodynamics Laboratory,,1,"10,140",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,Civil Engineering Laboratory,,1,"3,538",,,1966,,51,,,,,,,,,,,,,,,
Evansdale Campus,CEMR Testing Laboratories Bldg,,1,914,,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,Percival Pump House,,1,540,,,1965,,52,,,,,,,,,,,,,,,
Evansdale Campus,Natatorium-Shell,,3,"145,257",,,1975,,42,,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene House #1,University Avenue/Oakland,2,"3,337",,,1953,,64,,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene Garage,University Avenue/Oakland,1,"1,581",,,2004,,13,,,,,,,,,,,,,,,
Evansdale Campus,Cary Gymnastics Training Center,3450 Jerry West Boulevard,2,"14,446",,,1997,,20,,,,,,,,,,,,,,,
Evansdale Campus,Soccer Press Box,,2,320,,,2008,,9,,,,,,,,,,,,,,,
Evansdale Campus,Advanced Engineering Research Building,109 Research Way,4,"112,926",,,2012,,5,,,,,,,,,,,,,,,
Evansdale Campus,Dick Dlesk Soccer Complex,3450 Jerry West Drive,2,"22,389",,,2004,,13,,,,,,,,,,,,,,,
Evansdale Campus,Student Recreation Center,2001 Rec Center Drive,3,"302,993","181,495","131,521",2001,,16,,,,,,,,,,,,,,,
Evansdale Campus,Engineering Sciences Storage Building,389 Evansdale Drive,1,369,,,1990,,27,,,,,,,,,,,,,,,
Evansdale Campus,National Research Center for Coal & Energy,385 Evansdale Drive Collins Ferry Road,3,"69,365",,,1993,,24,,,,,,,,,,,,,,,
Evansdale Campus,Mineral Resources Building,401 Evansdale Drive,4,"94,525",,,1990,,27,,,,,,,,,,,,,,,
Evansdale Campus,Engineering Research Building,389 Evansdale Drive,4,"60,386",,,1990,,27,,,,,,,,,,,,,,,
Evansdale Campus,Central Chiller Facility,,1,"3,342",,,1992,,25,,,,,,,,,,,,,,,
Evansdale Campus,Athletic Equipment Building,,1,"1,127",,,1986,,31,,,,,,,,,,,,,,,
Evansdale Campus,Museum Education Center,342 Patteson Drive,2,"14,965",,,1986,,31,,,,,,,,,,,,,,,
Evansdale Campus,Hawley Field Concession Bldg.,3450 Jerry West Boulevard,1,920,,,1989,,28,,,,,,,,,,,,,,,
Evansdale Campus,Hawley Field Pressbox,3450 Jerry West Boulevard,1,320,,,1989,,28,,,,,,,,,,,,,,,
Evansdale Campus,PRT Station-Towers,,2,"14,619",,,1976,,41,,,,,,,,,,,,,,,
Evansdale Campus,Wrestling Pavilion,3451 Jerry West Drive,1,"11,541",,,2006,,11,,,,,,,,,,,,,,,
Evansdale Campus,Baseball Ticket Booth,,1,60,,,2003,,14,,,,,,,,,,,,,,,
Evansdale Campus,South Agricultural Sciences,,3,"40,894",,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,Evansdale Library,111 Research Way,4,"67,237",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Evansdale Crossing,62 Morrill Way,3,"108,988","87,434","61,817",2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,New Agricultural Sciences Bldg,101 Research Way,5,"210,419","181,967","122,933",2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,Lincoln Hall,1014 Rawley Avenue,4,"80,397",,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,Art Museum of WVU,2 Fine Arts Drive,2,"20,600",,,2014,,3,,,,,,,,,,,,,,,
Evansdale Campus,T.V. Service Building,,1,130,,,1994,,23,,,,,,,,,,,,,,,
Evansdale Campus,Greenhouse Storage Building,,1,386,,,1966,,51,,,,,,,,,,,,,,,
Evansdale Campus,Law Center,1 Law School Drive,3,"144,635",,,1974,,43,,,,,,,,,,,,,,,
Evansdale Campus,University Services Center,,3,-,,,1991,,26,,,,,,,,,,,,,,,
Evansdale Campus,Med Center Apartment J,,6,"50,605",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,Campus Support Services,,4,"31,827",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,CSS Storage Bldg,50 Tower Lane,1,"2,285",,,1999,,18,,,,,,,,,,,,,,,
Evansdale Campus,CSS Pesticide Storage,,1,442,,,1999,,18,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Station,,4,"172,159",,,2009,,8,,,,,,,,,,,,,,,
Evansdale Campus,PRT Station-HSC,,2,"5,565",,,1976,,41,,,,,,,,,,,,,,,
Evansdale Campus,Med Center Apartment K,,3,"50,612",,,1961,,56,,,,,,,,,,,,,,,
Evansdale Campus,CSS Office Building,,1,"3,041",,,2000,,17,,,,,,,,,,,,,,,
Evansdale Campus,Fieldcrest Hall,,4,"62,129",,,1943,,74,,,,,,,,,,,,,,,
Evansdale Campus,University Police Building,,3,"11,888",,,1990,,27,,,,,,,,,,,,,,,
Evansdale Campus,Suncrest Center,,5,"79,300",,,2002,,15,,,,,,,,,,,,,,,
Evansdale Campus,Suncrest Parking Garage,,2,"60,000",,,2002,,15,,,,,,,,,,,,,,,
Evansdale Campus,EricksonAlumni Center,,3,"48,000",,,2007,,10,,,,,,,,,,,,,,,
Evansdale Campus,Suncrest Executive Plaza 2,,2,"16,000",,,2002,,15,,,,,,,,,,,,,,,
Evansdale Campus,Intramural Storage Building,,1,101,,,1995,,22,,,,,,,,,,,,,,,
Evansdale Campus,Oakland Hall,438 Oakland Street,10,"221,112",,,2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,442 University Park Apartment (West),,5,"80,229",,,2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,475 University Park Apartments,,4,"52,541",,,2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,480 University Park Apartment (East),,5,"80,229",,,2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,Pierpont Apartments,,1,"49,470",,,1900,,117,,,,,,,,,,,,,,,
Evansdale Campus,Concession Stand West,,1,415,,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,Concession Stand East,,1,415,,,2006,,11,,,,,,,,,,,,,,,
Evansdale Campus,North Endzone Suites,,2,"50,992",,,2004,,13,,,,,,,,,,,,,,,
Evansdale Campus,Milan Puskar Stadium Pressbox,,3,"30,335",,,1981,,36,,,,,,,,,,,,,,,
Evansdale Campus,Milan Puskar Center,,2,"100,413",,,1981,,36,,,,,,,,,,,,,,,
Evansdale Campus,Milan Puskar Stadium,,2,"389,860",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Concessions #1,,1,"10,132",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Concessions #2,,1,"10,132",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Concessions #3,,1,"10,132",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Concessions #4,,1,"10,132",,,1980,,37,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Ticket Booth,,1,343,,,1991,,26,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Generator Bldg W,,1,748,,,1983,,34,,,,,,,,,,,,,,,
Evansdale Campus,Mountaineer Field Generator Bldg E,,1,370,,,1983,,34,,,,,,,,,,,,,,,
Evansdale Campus,Caperton Indoor Facility,,3,"75,329",,,1997,,20,,,,,,,,,,,,,,,
Evansdale Campus,Practice Field Building #1,,1,"1,344",,,1997,,20,,,,,,,,,,,,,,,
Evansdale Campus,Practice Field Building #3,,1,540,,,1997,,20,,,,,,,,,,,,,,,
Evansdale Campus,West 20 Concession Stand,,1,442,,,2007,,10,,,,,,,,,,,,,,,
Evansdale Campus,Puskar Center Storage Bldg,,1,503,,,2008,,9,,,,,,,,,,,,,,,
Evansdale Campus,Practice Field Storage Bldg,,2,"3,804",,,2016,,1,,,,,,,,,,,,,,,
Evansdale Campus,Chestnut Ridge Research Building,,10,"74,637",,,1984,,33,,,,,,,,,,,,,,,
Evansdale Campus,886 Chestnut Ridge Road Annex,,1,"3,644",,,1986,,31,,,,,,,,,,,,,,,
Evansdale Campus,CRR Bunker Structure,,1,"4,916",,,1900,,117,,,,,,,,,,,,,,,
Evansdale Campus,Research Ridge Bldg 2,,1,"7,500",,,2006,,11,,,,,,,,,,,,,,,
Evansdale Campus,Allegheny Development Co.,,1,638,,,1900,,117,,,,,,,,,,,,,,,
Evansdale Campus,Research Ridge Bldg,,1,"3,000",,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Annex Office Bldg.,,1,"2,621",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Townhouse A (Lyon),,2,"2,920",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Townhouse B (Bennett),,2,"2,858",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Townhouse C (Braxton),,2,"2,859",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Townhouse D (Brook),,2,"2,920",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Garage A,,1,"2,400",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,ERC RFL Garage B,,1,"2,400",,,1998,,19,,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene House #4,,4,"4,230",,,1946,,71,,,,,,,,,,,,,,,
Evansdale Campus,Coliseum Generator Shed,,1,640,,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,North Street House,,3,"2,725",,,1920,,97,,,,,,,,,,,,,,,
Evansdale Campus,WVU Child Care Center,,1,"18,891",,,2009,,8,,,,,,,,,,,,,,,
Evansdale Campus,WVU Nursery School,,1,"3,800","3,409","3,082",2009,,8,,,,,,,,,,,,,,,
Evansdale Campus,Women's Soccer Practice Facility,,1,"3,930",,,2011,,6,,,,,,,,,,,,,,,
Evansdale Campus,Basketball Practice Facility,,3,"96,193",,,2010,,7,,,,,,,,,,,,,,,
Evansdale Campus,Forensics Ballistics Container,,1,320,228,228,2015,,2,,,,,,,,,,,,,,,
Evansdale Campus,Tennis Courts Restroom/Storage,,1,213,,,2008,,9,,,,,,,,,,,,,,,
Evansdale Campus,Crime Scene 4 Garage,,1,451,,,1946,,71,,,,,,,,,,,,,,,
Evansdale Campus,South Endzone Concessions,,1,"12,317",,,2005,,12,,,,,,,,,,,,,,,
Evansdale Campus,Physical Activity and Sports Science,,3,"65,255","57,376","34,116",2014,,3,,,,,,,,,,,,,,,
Evansdale Campus,Student Health Building,,3,"51,000",,,2014,,3,,,,,,,,,,,,,,,
Evansdale Campus,Health and Education Building Generator,,1,"1,824",,,2014,,3,,,,,,,,,,,,,,,
Evansdale Campus,Forensics Shooting Lab Building,,1,906,,,2016,,1,,,,,,,,,,,,,,,
Evansdale Campus,The Chalet (WV Teach),,2,"2,762",,,0,,2017,,,,,,,,,,,,,,,
Star City,Arboretum Garage,,1,720,,,1975,,42,,,,,,,,,,,,,,,
Star City,Bitonti Rentals,,1,550,,,1900,,117,,,,,,,,,,,,,,,
Star City,Star City Self Storage,,1,200,,,2008,,9,,,,,,,,,,,,,,,
Star City,Monongalia County Ballpark (WVU Baseball Stadium),,1,"79,522",,,2014,,3,,,,,,,,,,,,,,,
Star City,Ticketbooth/Maintenance Bldg,,1,"1,970",,,2014,,3,,,,,,,,,,,,,,,
Star City,Shoneys Building,,1,"5,558",,,1970,,47,,,,,,,,,,,,,,,
Animal Science Farm,Beef Handling Facility,,1,"2,735",,,1980,,37,,,,,,,,,,,,,,,
Animal Science Farm,Animal Grow Safe Barn,,1,"1,489",,,1958,,59,,,,,,,,,,,,,,,
Animal Science Farm,Beef Feeding Facility,,1,"2,514",,,1989,,28,,,,,,,,,,,,,,,
Animal Science Farm,Dairy Barn,,1,"11,383",,,1977,,40,,,,,,,,,,,,,,,
Animal Science Farm,Equipment/Shop,,1,"10,354",,,1989,,28,,,,,,,,,,,,,,,
Animal Science Farm,Grow Safe Feed Bin #1,,1,64,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Upper Sheep Barn Feed Bin #2,,1,64,,,2000,,17,,,,,,,,,,,,,,,
Animal Science Farm,Mill Feed Bin #1,,1,280,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Mill Feed Bin #2,,1,280,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Mill Feed Bin #3,,1,280,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Mill Feed Bin #4,,1,280,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Dairy Feed Mixing Shed,,1,982,,,1977,,40,,,,,,,,,,,,,,,
Animal Science Farm,Dairy Hay Barn #1,,1,"4,370",,,1977,,40,,,,,,,,,,,,,,,
Animal Science Farm,Beef Hay Barn #2,,1,"5,296",,,1987,,30,,,,,,,,,,,,,,,
Animal Science Farm,Carpenter Shop,,1,"3,621",,,1940,,77,,,,,,,,,,,,,,,
Animal Science Farm,Pavilion,,1,"5,251",,,1950,,67,,,,,,,,,,,,,,,
Animal Science Farm,Upper Sheep Barn,,1,"9,075",,,1981,,36,,,,,,,,,,,,,,,
Animal Science Farm,Stave Silo #1,,1,314,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Harvester Silo #2,,1,314,,,1976,,41,,,,,,,,,,,,,,,
Animal Science Farm,Swine Barn,,1,"2,400",,,2006,,11,,,,,,,,,,,,,,,
Animal Science Farm,Swine Barn Feed Bin #1,,1,64,,,1900,,117,,,,,,,,,,,,,,,
Animal Science Farm,Star Silo #3,,1,314,,,1950,,67,,,,,,,,,,,,,,,
Animal Science Farm,Dairy/Heifer Facility,,1,"6,117",,,1992,,25,,,,,,,,,,,,,,,
Animal Science Farm,Lambing Barn,,1,"3,355",,,1995,,22,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #1,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #2,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #3,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #4,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #5,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Mobile Shed #6,,1,100,,,2013,,4,,,,,,,,,,,,,,,
Animal Science Farm,Farm Managers House,,2,"3,808",,,2004,,13,,,,,,,,,,,,,,,
Animal Science Farm,Library Depository Building,,2,"24,458",,,1999,,18,,,,,,,,,,,,,,,
Animal Science Farm,Food Animal Research Facility,,1,"13,560",,,1991,,26,,,,,,,,,,,,,,,
Animal Science Farm,Dairy Feed Bin #1,,,64,,,,,,,,,,,,,,,,,,,,
Animal Science Farm,Dairy Feed Bin #2,,,64,,,,,,,,,,,,,,,,,,,,
