Building Num.,Building Name,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,
,McCarty Building,705 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Memorial Hall,365 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Middleton Hall (ROTC Building),560 Hardy Rd.,,active,1910,,,,,,,,,,,,,,,,,,,
,Moore Hall,60 Garner Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Music Building B,299-10 Morrill Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Stafford Hall,475 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Templeton Athletic Academic Center,,34000,active,2008,,,,,,,,,,,,,,,,,,,
,Thompson Hall,775 Stone Blvd.,84000,active,1992,,,,,,,,,,,,,,,,,,,
,Walker Engineering Building,501 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Wise Center,240 Wise Center Dr.,,active,,,,,,,,,,,,,,,,,,,,
,Campus Power Plant,,,active,,,,,,,,,,,,,,,,,,,,
,Old Main Academic Center,,,active,,,,,,,,,,,,,,,,,,,,
,Transportation Services,,,active,,,,,,,,,,,,,,,,,,,,
,Internal Audit,,,active,,,,,,,,,,,,,,,,,,,,
,Environmental Health and Safety / Office of Institutional Effectiveness,,,active,,,,,,,,,,,,,,,,,,,,
,Academic Advising Center,,,active,,,,,,,,,,,,,,,,,,,,
,Regulatory Compliance and Safety,,,active,,,,,,,,,,,,,,,,,,,,
,MSU Psychology Clinic,,,active,,,,,,,,,,,,,,,,,,,,
,Mississippi Quarterly,,,active,,,,,,,,,,,,,,,,,,,,
,ITS,,,active,,,,,,,,,,,,,,,,,,,,
,Research and Curriculum Unit (RCU),,,active,,,,,,,,,,,,,,,,,,,,
,The Child Development and Family Studies Center,,,active,,,,,,,,,,,,,,,,,,,,
,Office of Maroon and Write,,,active,,,,,,,,,,,,,,,,,,,,
,Equine Unit,,,active,,,,,,,,,,,,,,,,,,,,
,Beef Unit,,,active,,,,,,,,,,,,,,,,,,,,
,Rosenbaum Building,,,active,,,,,,,,,,,,,,,,,,,,
,College Park Campus,,,active,,,,,,,,,,,,,,,,,,,,
,Deen Building,,,active,2012,,,,,,,,,,,,,,,,,,,
,Davis Wade Stadium,,,active,,,,,,,,,,,,,,,,,,,,
,MSU Golf Course,1520 Old Highway 82 East,,active,,,,,,,,,,,,,,,,,,,,
,Dudy Noble Field - Polk-DeMent Stadium,,,active,,,,,,,,,,,,,,,,,,,,
,McCarthy Gymnasium,162 Creelman St.,,active,1950,1999,,,,,,,,,,,,,,,,,,
,A.J. Pitts Tennis Centre,,,active,1984,,,,,,,,,,,,,,,,,,,
,Bryan Athletic Administration Building,288 Lakeview Dr.,,active,1995,,,,,,,,,,,,,,,,,,,
,Holliman Athletic Center,,,active,2005,,,,,,,,,,,,,,,,,,,
,Humphrey Coliseum,55 Coliseum Blvd.,,active,1975,1998,,,,,,,,,,,,,,,,,,
,Joe Frank Sanderson Center,225 Coliseum Blvd.,,active,1998,,,,,,,,,,,,,,,,,,,
,Leo Seal Jr. Football Complex,,,active,,,,,,,,,,,,,,,,,,,,
,Mize Pavilion,,,active,,,,,,,,,,,,,,,,,,,,
,Newell-Grissom Building,100 Old Bully,,active,1997,,,,,,,,,,,,,,,,,,,
,Palmeiro Center,675 Collegeview St.,,active,,,,,,,,,,,,,,,,,,,,
,Recreational Complex,154 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Shira Field House,235 Lakeview Dr.,,active,,,,,,,,,,,,,,,,,,,,
,Soccer Field,,,active,1995,,,,,,,,,,,,,,,,,,,
,Nusz Park,,,active,1997,,,,,,,,,,,,,,,,,,,
,Spencer Stadium and Carl Maddox Track,195 Lakeview Dr.,,active,2011,,,,,,,,,,,,,,,,,,,
,Templeton Athletic Academic Center,,,active,2008,,,,,,,,,,,,,,,,,,,
,Turman Field House and M Club,40 Creelman St.,,active,1999,,,,,,,,,,,,,,,,,,,
,Starbucks,,,active,,,,,,,,,,,,,,,,,,,,
,P.O.D.,,,active,,,,,,,,,,,,,,,,,,,,
,Fresh Food,,,active,2015,,,,,,,,,,,,,,,,,,,
,Perry Cafeteria,85 Old Main,,active,1921,,,,,,,,,,,,,,,,,,,
,Pegasus Dining,,,active,,,,,,,,,,,,,,,,,,,,
,Einstein Bros. Bagels,,,active,,,,,,,,,,,,,,,,,,,,
,Templeton Dining Hall,,,active,,,,,,,,,,,,,,,,,,,,
,Burger King,,,active,,,,,,,,,,,,,,,,,,,,
,Moe's Southwest Grill,,,active,,,,,,,,,,,,,,,,,,,,
,Subway,,,active,,,,,,,,,,,,,,,,,,,,
,Chick-Fil-A,,,active,,,,,,,,,,,,,,,,,,,,
,Panda Express,,,active,,,,,,,,,,,,,,,,,,,,
,Burrito Bowl,,,active,,,,,,,,,,,,,,,,,,,,
,Pizza Hut Express,,,active,,,,,,,,,,,,,,,,,,,,
,State Fountain Bakery,,,active,,,,,,,,,,,,,,,,,,,,
,Village Pizza,,,active,,,,,,,,,,,,,,,,,,,,
,Juva Juice,,,active,,,,,,,,,,,,,,,,,,,,
,Barnes & Noble Cafe,,,active,,,,,,,,,,,,,,,,,,,,
,McArthur Café Express,,,active,,,,,,,,,,,,,,,,,,,,
,McArthur Café Express,,,active,,,,,,,,,,,,,,,,,,,,
,McArthur Café Express,,,active,,,,,,,,,,,,,,,,,,,,
,Provisions On Demand,,,active,,,,,,,,,,,,,,,,,,,,
,Mitchell Memorial Library,395 Hardy Rd.,,active,1998,,14800000 (construction),,,,,,,,,,,,,,,,,
,Vet School Library,,,active,,,,,,,,,,,,,,,,,,,,
,Architecture Library,,,active,,,,,,,,,,,,,,,,,,,,
,Sigma Alpha Epsilon,,,active,,,,,,,,,,,,,,,,,,,,
,Kappa Alpha,,,active,,,,,,,,,,,,,,,,,,,,
,Pi Kappa Alpha,,,active,,,,,,,,,,,,,,,,,,,,
,Kappa Sigma,,,active,,,,,,,,,,,,,,,,,,,,
,Pi Kappa Phi,,,active,,,,,,,,,,,,,,,,,,,,
,Phi Kappa Tau,,,active,,,,,,,,,,,,,,,,,,,,
,Phi Gamma Delta,,,active,,,,,,,,,,,,,,,,,,,,
,Sigma Chi,,,active,,,,,,,,,,,,,,,,,,,,
,Lambda Chi Alpha,,,active,,,,,,,,,,,,,,,,,,,,
,Delta Gamma,,,active,,,,,,,,,,,,,,,,,,,,
,Kappa Delta Sorority,,,active,,,,,,,,,,,,,,,,,,,,
,Chi Omega,,,active,,,,,,,,,,,,,,,,,,,,
,Zeta Tau Alpha,,,active,,,,,,,,,,,,,,,,,,,,
,Phi Mu,,,active,,,,,,,,,,,,,,,,,,,,
,Alpha Delta Pi,,,active,,,,,,,,,,,,,,,,,,,,
,Farmhouse,,,active,,,,,,,,,,,,,,,,,,,,
,Phi Delta Theta,,,active,,,,,,,,,,,,,,,,,,,,
,Delta Delta Delta,,,active,,,,,,,,,,,,,,,,,,,,
,Delta Chi,,,active,,,,,,,,,,,,,,,,,,,,
,Pi Beta Phi,,,active,,,,,,,,,,,,,,,,,,,,
,Band Practice Field,72 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Student Media Center,105 Lee Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,McComas Hall,216 Presidents Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Band/Choral Rehearsal Hall,72 Hardy Rd.,18000,active,2007,,,,,,,,,,,,,,,,,,,
,Briscoe Hall,120 Garner Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Freeman Hall,415 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Stafford Hall,475 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Amphitheater,,,active,,,,,,,,,,,,,,,,,,,,
,Visual Arts Center (VAC),,,active,,,,,,,,,,,,,,,,,,,,
,Visual Arts Center 2 (VAC),,,active,,,,,,,,,,,,,,,,,,,,
,MSU Riley Center,,,active,,,,,,,,,,,,,,,,,,,,
,"G.V. ""Sonny"" Montgomery Statue",,,active,,,,,,,,,,,,,,,,,,,,
,A of Mississippi Monument,,,active,,,,,,,,,,,,,,,,,,,,
,WWI Memorial,,,active,,,,,,,,,,,,,,,,,,,,
,Angel Statue,,,active,,,,,,,,,,,,,,,,,,,,
,Bell Island,,,active,,,,,,,,,,,,,,,,,,,,
,Bully Sculpture,,,active,,,,,,,,,,,,,,,,,,,,
,Bulldog Sculpture,,,active,,,,,,,,,,,,,,,,,,,,
,Bulldog Sculpture,,,active,,,,,,,,,,,,,,,,,,,,
,Bulldog Statue,,,active,,,,,,,,,,,,,,,,,,,,
,Historic Campus Entry Gate,,,active,,,,,,,,,,,,,,,,,,,,
,Cast Iron Fountain,,,active,,,,,,,,,,,,,,,,,,,,
,Darden Monument,,,active,,,,,,,,,,,,,,,,,,,,
,The Eternal Flame,,,active,,,,,,,,,,,,,,,,,,,,
,Lee Bust and Plaza,,,active,,,,,,,,,,,,,,,,,,,,
,The Scholar,,,active,,,,,,,,,,,,,,,,,,,,
,Metal Benches & Stands (The Hitchhiker Stand),,,active,,,,,,,,,,,,,,,,,,,,
,Michel John Petro Sculpture,,,active,,,,,,,,,,,,,,,,,,,,
,Vietnam Memorial,,,active,,,,,,,,,,,,,,,,,,,,
,Walk of Honor,,,active,,,,,,,,,,,,,,,,,,,,
,Wiley Carter Memorial,,,active,,,,,,,,,,,,,,,,,,,,
,4-H Club Flagpole,,,active,,,,,,,,,,,,,,,,,,,,
,The Bull Ring,,,active,,,,,,,,,,,,,,,,,,,,
,Sculpture,,,active,,,,,,,,,,,,,,,,,,,,
,Cobb Institute of Archaeology,340 Lee Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Clay Lyle Entomology Lab,100 Old Hwy. 12,,active,1971,,,,,,,,,,,,,,,,,,,
,Institute For Clean Energy Technology,,,active,2008,,,,,,,,,,,,,,,,,,,
,Forest Products Laboratory,100 Blackjack Rd,,active,,,,,,,,,,,,,,,,,,,,
,Franklin Center for Furniture Manufacturing and Management,100 Blackjack Rd.,,active,,,,,,,,,,,,,,,,,,,,
,H.H. Leveck Animal Research Center (South Farm),,,active,,,,,,,,,,,,,,,,,,,,
,High Performance Computing Collaboratory (HPC2),2 Research Blvd,,active,1974,,,,,,,,,,,,,,,,,,,
,A.B. McKay Food Research & Enology Lab,,,active,,,,,,,,,,,,,,,,,,,,
,Mississippi Seed Association,,,active,,,,,,,,,,,,,,,,,,,,
,R.R. Foil Plant Science Research Center (North Farm),,,active,,,,,,,,,,,,,,,,,,,,
,Pace Seed Technology Building,650 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Petroleum Products Lab,264 Morrill Rd.,,active,,,,,,,,,,,,,,,,,,,,
,RTC Building,60 Technology Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Scales Building,125 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Multi-Tennant Building,Research Blvd,,active,1950,,,,,,,,,,,,,,,,,,,
,T.K. Martin Center,,,active,,,,,,,,,,,,,,,,,,,,
,University Greenhouse Complex,900 Stone Ave.,,active,1997,,,,,,,,,,,,,,,,,,,
,John C. Stennis Institute (Annex),,,active,,,,,,,,,,,,,,,,,,,,
,Center for Historical Studies,,,active,,,,,,,,,,,,,,,,,,,,
,Center for Educational Partnerships,,,active,,,,,,,,,,,,,,,,,,,,
,Institute for the Humanities,,,active,,,,,,,,,,,,,,,,,,,,
,MSU Business Incubator,60 Technology Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Edwards Building,,,active,,,,,,,,,,,,,,,,,,,,
,Equine Unit,,,active,,,,,,,,,,,,,,,,,,,,
,Beef Unit,,,active,,,,,,,,,,,,,,,,,,,,
,Drill Field,,,active,,,,,,,,,,,,,,,,,,,,
,Center For America's Veterans,"126 Magruder St, Miss State",,active,,,,,,,,,,,,,,,,,,,,
,Lee Hall,,,active,1909,,,,,,,,,,,,,,,,,,,
,Butler Guest House,45 Walker Rd.,,active,1913,,,,,,,,,,,,,,,,,,,
,Steam Plant,203 Herbert St.,,active,1921,,,,,,,,,,,,,,,,,,,
,Chapel of Memories,135 Walker Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Cotton Mill Convention Center / E. E. Cooley Building,,,active,,,,,,,,,,,,,,,,,,,,
,Hunter Henry Center,1 Hunter Henry Blvd..,,active,,,,,,,,,,,,,,,,,,,,
,The University Florist,,,active,,,,,,,,,,,,,,,,,,,,
,The Junction,,,active,,,,,,,,,,,,,,,,,,,,
,Eckie's Pond,,,active,,,,,,,,,,,,,,,,,,,,
,Howell Observatory,,,active,,,,,,,,,,,,,,,,,,,,
,President's House,,,active,,,,,,,,,,,,,,,,,,,,
,MAFES Sales Store,,,active,,,,,,,,,,,,,,,,,,,,
,Mississippi Horse Park,,,active,,,,,,,,,,,,,,,,,,,,
,Veterans Memorial Rose Garden,,,active,,,,,,,,,,,,,,,,,,,,
,Lactation rooms,,,active,,,,,,,,,,,,,,,,,,,,
,ITS Help Desk and Campus Card Office,,,active,,,,,,,,,,,,,,,,,,,,
,Visual Arts Center (VAC),,,active,,,,,,,,,,,,,,,,,,,,
,Visual Arts Center 2 (VAC),,,active,,,,,,,,,,,,,,,,,,,,
,Colvard Student Union Art Gallery,,,active,,,,,,,,,,,,,,,,,,,,
,Cullis Wade Clock Museum,,,active,,,,,,,,,,,,,,,,,,,,
,Cully Cobb Museum,,,active,,,,,,,,,,,,,,,,,,,,
,Cullis Wade Depot Art Gallery,,,active,,,,,,,,,,,,,,,,,,,,
,Dunn-Seiler Museum,,,active,,,,,,,,,,,,,,,,,,,,
,Giles Architecture Gallery,,,active,,,,,,,,,,,,,,,,,,,,
,Lois Dowdle Cobb Museum of Archaeology,,,active,,,,,,,,,,,,,,,,,,,,
,Mitchell Memorial Library,,,active,,,,,,,,,,,,,,,,,,,,
,Mississippi Entomological Museum,,,active,,,,,,,,,,,,,,,,,,,,
,Mississippi State University Herbarium,,,active,,,,,,,,,,,,,,,,,,,,
,Historic Costumes and Textile Collection,,,active,,,,,,,,,,,,,,,,,,,,
,Department of Art Gallery,,,active,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
