Building Num.,Building Name,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,
,Dickinson Hall,1659 MUSEUM RD,"98,580",active,1970,,,47,,,,,,,,,,,,,,,,
,Editorial Storage,1352 SABAL PALM DR,"2,720",active,1957,,,60,,,,,,,,,,,,,,,,
,Education Media A,"2124 NE Waldo Rd., Ste. 1101","8,640",active,1946,,,71,,,,,,,,,,,,,,,,
,Electrical Engineering Laboratory,1064 CENTER DR,"5,650",active,1964,,,53,,,,,,,,,,,,,,,,
,Elmore Hall,971 ELMORE DR,"18,230",active,1991,,,26,,,,,,,,,,,,,,,,
,Engineering Building,312 Weil Hall,"140,190",active,1997,,,20,,,,,,,,,,,,,,,,
,Engineering Sciences,312 Weil Hall,"40,930",active,1967,,,50,,,,,,,,,,,,,,,,
,Emerging Pathogens Institute,2055 MOWRY RD,"88,858",active,2009,,,8,,,,,,,,,,,,,,,,
,Emerson Alumni Hall,1938 WEST UNIVERSITY AVE,"55,905",active,2002,,,15,,,,,,,,,,,,,,,,
,Engineering Research Ctr-Eglin,,"45,900",active,1995,,,22,,,,,,,,,,,,,,,,
,Entomology/Nematology Building,1881 NATURAL AREA DR,"85,970",active,1990,,,27,,,,,,,,,,,,,,,,
,Environ/Health/Safety Offices,1555 MUSEUM RD,"2,160",active,1949,,,68,,,,,,,,,,,,,,,,
,Facilities Operations,,"4,000",active,1967,,,50,,,,,,,,,,,,,,,,
,Fairs / Academic Programs,1200 NEWELL DR,"6,990",active,1947,,,70,,,,,,,,,,,,,,,,
,Fifield Hall,2550 HULL RD,"102,810",active,1979,,,38,,,,,,,,,,,,,,,,
,Fine Arts A,101 Fine Arts Building A,"22,590",active,1964,,,53,,,,,,,,,,,,,,,,
,Fine Arts B,101 Fine Arts Building B,"12,940",active,1964,,,53,,,,,,,,,,,,,,,,
,Fine Arts C,101 Fine Arts Building B,"72,520",active,1964,,,53,,,,,,,,,,,,,,,,
,Fine Arts D,101 Fine Arts Building D,"25,090",active,1979,,,38,,,,,,,,,,,,,,,,
,Florida Gymnasium,1864 STADIUM RD,"162,560",active,1949,,,68,,,,,,,,,,,,,,,,
,Florida Innovation Hub,747 SW 2ND AVENUE,"46,000",active,2011,,,6,,,,,,,,,,,,,,,,
,Food Science & Human Nutrition,572 NEWELL DR,"44,640",active,1969,,,48,,,,,,,,,,,,,,,,
,Gator Corner Dinning,2021 STADIUM RD,"22,130",active,1996,,,21,,,,,,,,,,,,,,,,
,General Services Building,1361 CENTER DR,"41,260",active,1975,,,42,,,,,,,,,,,,,,,,
,Genetics,2033 MOWRY RD,"280,000",active,2006,,,11,,,,,,,,,,,,,,,,
,Gerson Hall,1368 UNION RD,"39,640",active,2003,,,14,,,,,,,,,,,,,,,,
,Gran Telescopio Canarias,,"43,056",active,2002,,,15,,,,,,,,,,,,,,,,
,Griffin / Floyd Hall,230 NEWELL DR,"23,940",active,1912,,,105,,,,,,,,,,,,,,,,
,Griffin Stadium (Fla. Field),245 GALE LEMERAND DR,"136,340",active,1930,,,87,,,,,,,,,,,,,,,,
,Grinter Hall,1523 UNION RD,"57,310",active,1971,,,46,,,,,,,,,,,,,,,,
,Harn Art Museum,3259 HULL RD,"64,470",active,1990,,,27,,,,,,,,,,,,,,,,
,"Health Prof, Nursing, Pharmacy",Health and Human Performance Building,"154,800",active,2003,,,14,,,,,,,,,,,,,,,,
,Health Sci Ctr Admin Services,1329 SW 16th ST,"182,000",active,1994,,,23,,,,,,,,,,,,,,,,
,Heritage Hall,105 GALE LEMERAND DR,"22,800",active,1991,,,26,,,,,,,,,,,,,,,,
,Hispanic/Latino Culture Center,1504 W UNIVERSITY AVE,"3,060",active,1954,,,63,,,,,,,,,,,,,,,,
,Holland Law Center,309 VILLAGE DR,"132,620",active,1968,,,49,,,,,,,,,,,,,,,,
,Home Economics Offices,,"1,070",active,1906,,,111,,,,,,,,,,,,,,,,
,Hough Hall,1404 UNION RD,"72,140",active,2010,,,7,,,,,,,,,,,,,,,,
,HUB - Bookstore,Museum Road and Reitz Union Drive,"54,734",active,1950,,,67,,,,,,,,,,,,,,,,
,Human Development Center,1244 NEWELL DR,"36,125",active,1967,,,50,,,,,,,,,,,,,,,,
,Hume Hall,2129 MUSEUM RD,"165,240",active,2002,,,15,,,,,,,,,,,,,,,,
,Infirmary,1 Fletcher Drive,"27,001",active,1931,,,86,,,,,,,,,,,,,,,,
,Jennings Hall,1509 MUSEUM RD,"8,204",active,1961,,,56,,,,,,,,,,,,,,,,
,Keene-Flint Hall,80 NEWELL DR,"22,485",active,1909,,,108,,,,,,,,,,,,,,,,
,Lakeside Residential Complex,3009 RADIO RD,"158,135",active,2000,,,17,,,,,,,,,,,,,,,,
,Larsen Hall,968 CENTER DR,"25,065",active,1967,,,50,,,,,,,,,,,,,,,,
,Laundry,1476 ORANGE DR,"21,252",active,1966,,,51,,,,,,,,,,,,,,,,
,Law Advocacy Center,164 Holland Hall,"20,461",active,2010,,,7,,,,,,,,,,,,,,,,
,Leigh Hall,165 BUCKMAN DR,"53,342",active,1927,,,90,,,,,,,,,,,,,,,,
,Library West,1545 W UNIVERSITY AV,"137,465",active,1967,,,50,,,,,,,,,,,,,,,,
,Linder Tennis Stadium,2337 SW 2ND AV,"11,465",active,1987,,,30,,,,,,,,,,,,,,,,
,Little Hall,1400 STADIUM RD,"41,771",active,1965,,,52,,,,,,,,,,,,,,,,
,Lipoff Hall,,"23,000",active,2004,,,13,,,,,,,,,,,,,,,,
,Marston Science Library,444 NEWELL DR,"90,589",active,1986,,,31,,,,,,,,,,,,,,,,
,Materials Engineering,601 GALE LEMERAND DR,"21,305",active,1969,,,48,,,,,,,,,,,,,,,,
,Matherly Hall,1405 W UNIVERSITY AV,"31,601",active,1954,,,63,,,,,,,,,,,,,,,,
,"McCarty Hall ""A""",1692 MCCARTY DR,"35,864",active,1956,,,61,,,,,,,,,,,,,,,,
,"McCarty Hall ""B""",1692 MCCARTY DR,"27,758",active,1956,,,61,,,,,,,,,,,,,,,,
,"McCarty Hall ""C""",1692 MCCARTY DR,"14,079",active,1956,,,61,,,,,,,,,,,,,,,,
,"McCarty Hall ""D""",1692 MCCARTY DR,"39,187",active,1956,,,61,,,,,,,,,,,,,,,,
,McGuire Ctr for Lepidoptera Research,3215 HULL RD,"25,908",active,2004,,,13,,,,,,,,,,,,,,,,
,Mechanical Engineering,633 GALE LEMERAND DR,"24,487",active,1967,,,50,,,,,,,,,,,,,,,,
,Mechanical Engineering Lab,633 GALE LEMERAND DR,"20,673",active,1948,,,69,,,,,,,,,,,,,,,,
,Mehrhof Hall,2046 IFAS RESEARCH DR,"10,300",active,1958,,,59,,,,,,,,,,,,,,,,
,Microbiology/Cell Sciences,1355 MUSEUM DR,"69,820",active,1994,,,23,,,,,,,,,,,,,,,,
,Microfabritech Lab,2320 Surge Area Drive,"4,890",active,1989,,,28,,,,,,,,,,,,,,,,
,Microkelvin Lab,1819 STADIUM RD,"4,360",active,1988,,,29,,,,,,,,,,,,,,,,
,Music Building,435 NEWELL DR,"63,900",active,1971,,,46,,,,,,,,,,,,,,,,
,Nanoscale Research Facility,1041 CENTER DR,"55,692",active,2008,,,9,,,,,,,,,,,,,,,,
,Newell Hall,,"30,330",active,1909,,,108,,,,,,,,,,,,,,,,
,Newins-Zeigler Hall,1745 MCCARTY DR,"54,400",active,1976,,,41,,,,,,,,,,,,,,,,
,Norman Gym,624 SW 12TH ST,"11,340",active,1932,,,85,,,,,,,,,,,,,,,,
,Norman Hall,1221 SW 5TH AV,"87,350",active,1932,,,85,,,,,,,,,,,,,,,,
,Norman Hall Addition,618 SW 12TH ST,"116,120",active,1979,,,38,,,,,,,,,,,,,,,,
,Nuclear Reactor Building,1917 STADIUM RD,"17,400",active,1958,,,59,,,,,,,,,,,,,,,,
,Nuclear Sciences Building,1929 STADIUM RD,"72,380",active,1964,,,53,,,,,,,,,,,,,,,,
,O'Connell Center,250 GALE LEMERAND DR,"295,990",active,1980,,,37,,,,,,,,,,,,,,,,
,Observatory,998 SWEETWATER DR,520,active,1956,,,61,,,,,,,,,,,,,,,,
,Orthopaedic Surgery&Sports Med,3450 HULL RD,"119,105",active,2005,,,12,,,,,,,,,,,,,,,,
,Parking & Fines,,"4,810",active,1984,,,33,,,,,,,,,,,,,,,,
,Parking Administrative Service,,"1,080",active,1988,,,29,,,,,,,,,,,,,,,,
,Particle Science & Technology,1180 CENTER DR,"23,700",active,1998,,,19,,,,,,,,,,,,,,,,
,Patient Services Building,1600 SW ARCHER RD,"588,570",active,1983,,,34,,,,,,,,,,,,,,,,
,Peabody Hall,1500 UNION RD,"34,360",active,1912,,,105,,,,,,,,,,,,,,,,
,Percy Beard Track Stadium,,"11,699",active,1986,,,31,,,,,,,,,,,,,,,,
,Performing Arts Auditorium,3201 HULL RD,"57,880",active,1991,,,26,,,,,,,,,,,,,,,,
,Pesticides Research Building,,"8,050",active,1965,,,52,,,,,,,,,,,,,,,,
,Phelps Laboratory,1953 MUSEUM RD,"8,880",active,1946,,,71,,,,,,,,,,,,,,,,
,Physical Plant Central Stores,902 MAGNOLIA DR,"23,226",active,1966,,,51,,,,,,,,,,,,,,,,
,Physical Plant Grounds,1026 MAGNOLIA DR,"5,360",active,1966,,,51,,,,,,,,,,,,,,,,
,Physical Plant Grounds Admin.,1026 MAGNOLIA DR,"2,000",active,1996,,,21,,,,,,,,,,,,,,,,
,Physical Plant Maintenance,1026 MAGNOLIA DR,"39,900",active,1966,,,51,,,,,,,,,,,,,,,,
,Physical Plant Offices,3280 RADIO RD,"11,860",active,1966,,,51,,,,,,,,,,,,,,,,
,Physical Plant Resource Mgmnt.,942 MAGNOLIA DR,"1,970",active,1971,,,46,,,,,,,,,,,,,,,,
,Physical Plnt Building Service,942 MAGNOLIA DR,"5,270",active,1966,,,51,,,,,,,,,,,,,,,,
,Physics Building,2001 MUSEUM RD,"232,730",active,1998,,,19,,,,,,,,,,,,,,,,
,Plant Science Facility,2475 MEMORIAL RD,"6,500",active,1988,,,29,,,,,,,,,,,,,,,,
,Powell Hall,3215 HULL RD,"58,000",active,1997,,,20,,,,,,,,,,,,,,,,
,President's Residence,450 VILLAGE DRIVE,"7,610",active,1953,,,64,,,,,,,,,,,,,,,,
,Psychology Life Sciences,945 CENTER DR,"72,390",active,1972,,,45,,,,,,,,,,,,,,,,
,Pugh Hall,296 BUCKMAN DR,"45,690",active,2008,,,9,,,,,,,,,,,,,,,,
,Recreation & Fitness Center,244 FLETCHER DR,"43,110",active,1991,,,26,,,,,,,,,,,,,,,,
,Recreational Center Dining,222 FLETCHER DR,"14,800",active,1991,,,26,,,,,,,,,,,,,,,,
,Recreational Sports Facility,222 FLETCHER DR,"95,326",active,1994,,,23,,,,,,,,,,,,,,,,
,Reed Laboratory,1901 STADIUM RD,"15,020",active,1936,,,81,,,,,,,,,,,,,,,,
,Reitz Union,655 REITZ UNION DR,"283,030",active,1967,,,50,,,,,,,,,,,,,,,,
,Research Building at Lake Nona,,"99,656",active,2012,,,5,,,,,,,,,,,,,,,,
,Rhines Hall,549 GALE LEMERAND DR,"72,911",active,1948,,,69,,,,,,,,,,,,,,,,
,Rinker Hall,304 Rinker Hall,"48,906",active,2002,,,15,,,,,,,,,,,,,,,,
,Rogers Hall,1741 MUSEUM RD,"53,453",active,1955,,,62,,,,,,,,,,,,,,,,
,Rolfs Hall,341 BUCKMAN DR,"41,336",active,1927,,,90,,,,,,,,,,,,,,,,
,Shands Cancer Clinic,1515 SW ARCHER ROAD,"126,200",active,1991,,,26,,,,,,,,,,,,,,,,
,Shands MRI Building,1600 SW ARCHER RD,"4,040",active,1991,,,26,,,,,,,,,,,,,,,,
,Shands Teaching Hospital,1600 SW ARCHER RD,"526,310",active,1956,,,61,,,,,,,,,,,,,,,,
,Sid Martin Biotechnology Fac.,,"39,870",active,1995,,,22,,,,,,,,,,,,,,,,
,Smathers Library,1508 UNION RD,"112,990",active,1927,,,90,,,,,,,,,,,,,,,,
,Spec. Pathogen Free Animal Fac,12085 RESEARCH DR,"6,650",active,1997,,,20,,,,,,,,,,,,,,,,
,Steinbrenner Band Hall,1556 INNER RD,"18,209",active,2008,,,9,,,,,,,,,,,,,,,,
,Stetson Medical Sciences,1345 CENTER DR,"379,040",active,1956,,,61,,,,,,,,,,,,,,,,
,Stuzin Hall,1454 UNION RD,"56,100",active,1981,,,36,,,,,,,,,,,,,,,,
,Telecommunications,3252 RADIO RD,"2,360",active,1989,,,28,,,,,,,,,,,,,,,,
,The 105 Classroom Building,105 NW 16th ST,"33,992",active,2000,,,17,,,,,,,,,,,,,,,,
,Tigert Hall,300 SW 13TH ST,"80,700",active,1950,,,67,,,,,,,,,,,,,,,,
,Traffic & Parking,,"1,680",active,1994,,,23,,,,,,,,,,,,,,,,
,TREEO Center,3900 SW 63RD BLVD,"23,910",active,1978,,,39,,,,,,,,,,,,,,,,
,Turfgrass Evirotron,1388 ORCHARD DR,"4,660",active,1993,,,24,,,,,,,,,,,,,,,,
,Turlington Hall,330 NEWELL DR,"180,610",active,1977,,,40,,,,,,,,,,,,,,,,
,U.F. Hotel and Conference Center,1714 SW 34th St,"189,600",active,2000,,,17,,,,,,,,,,,,,,,,
,U. F. Information,357 FLETCHER DR,"2,210",active,1982,,,35,,,,,,,,,,,,,,,,
,U.S. Mail & Document Service,3030 RADIO RD,"13,600",active,1967,,,50,,,,,,,,,,,,,,,,
,UAA Sports Field House,2156 STADIUM RD,"9,650",active,1988,,,29,,,,,,,,,,,,,,,,
,UAA Swimming/Diving Facility,,"4,220",active,1998,,,19,,,,,,,,,,,,,,,,
,UAA Volleyball Facility,,"46,000",active,1995,,,22,,,,,,,,,,,,,,,,
,UF Bookstore & Welcome Center,1900 MUSEUM RD,"216,750",active,2003,,,14,,,,,,,,,,,,,,,,
,University Auditorium,333 NEWELL DR,"49,020",active,1922,,,95,,,,,,,,,,,,,,,,
,University Foundation Annex,100 NW 20th ST,"22,780",active,1997,,,20,,,,,,,,,,,,,,,,
,University Golf Club House,2801 SW 2ND AV,"7,870",active,1988,,,29,,,,,,,,,,,,,,,,
,University Housing Office,1304 DIAMOND RD,"18,570",active,1967,,,50,,,,,,,,,,,,,,,,
,University Motor Pool,1037 MAGNOLIA DR,"8,640",active,1994,,,23,,,,,,,,,,,,,,,,
,University Police,1521 MUSEUM RD,"4,790",active,1930,,,87,,,,,,,,,,,,,,,,
,University Police Annex No. 1,1521 MUSEUM RD,"4,580",active,1950,,,67,,,,,,,,,,,,,,,,
,University Press,15 NW 15TH STREET,"4,480",active,1932,,,85,,,,,,,,,,,,,,,,
,University Womens Club,324 WOODLAWN DR,"4,718",active,2001,,,16,,,,,,,,,,,,,,,,
,Urban Entomololgy,2027 NATURAL AREA DR,"3,820",active,1994,,,23,,,,,,,,,,,,,,,,
,Van Fleet Hall,2074 STADIUM RD,"21,870",active,1952,,,65,,,,,,,,,,,,,,,,
,Vet Med Academic Wing,1963 SW 16TH AV,"139,450",active,1996,,,21,,,,,,,,,,,,,,,,
,Vet Med Basic Science Building,1964 SW 16TH AV,"68,000",active,1977,,,40,,,,,,,,,,,,,,,,
,Vet Med Equine Hospital,1965 SW 16TH AV,"58,520",active,1993,,,24,,,,,,,,,,,,,,,,
,Vet Med Food Animal Clinic,1966 SW 16TH AV,"14,910",active,1977,,,40,,,,,,,,,,,,,,,,
,Vet Med Metabolic Building,1967 SW 16TH AV,"17,030",active,1977,,,40,,,,,,,,,,,,,,,,
,Vet Med Teaching Hospital,1968 SW 16TH AV,"123,170",active,1977,,,40,,,,,,,,,,,,,,,,
,Veterinary Educationand Clinical Research Center,2015 SW 16TH AV,"104,000",active,2009,,,8,,,,,,,,,,,,,,,,
,Veterinary Science Building,1945 SW 16TH AV,"11,840",active,1955,,,62,,,,,,,,,,,,,,,,
,Walker Hall,1489 UNION RD,"26,220",active,1926,,,91,,,,,,,,,,,,,,,,
,Wallace Building,2390 MOWRY RD,"6,700",active,1962,,,55,,,,,,,,,,,,,,,,
,Waste Management Facility,3076 LONGLEAF RD,"18,860",active,1992,,,25,,,,,,,,,,,,,,,,
,Webb Livestock Pavilion,,"23,950",active,1952,,,65,,,,,,,,,,,,,,,,
,Weil Hall,1949 STADIUM RD,"151,100",active,1950,,,67,,,,,,,,,,,,,,,,
,Weimer Hall,1885 STADIUM RD,"145,155",active,1980,,,37,,,,,,,,,,,,,,,,
,Williamson Hall,1843 STADIUM RD,"70,508",active,1958,,,59,,,,,,,,,,,,,,,,
,Womens Gymnasium,324 WOODLAWN DR,"13,840",active,1919,,,98,,,,,,,,,,,,,,,,
,Wwtp Administration,1103 GALE LEMERAND DR,"5,660",active,1994,,,23,,,,,,,,,,,,,,,,
,Yon Hall,1908 STADIUM RD,"86,770",active,1966,,,51,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
