Building Number,Name,Res or non-res,Ownership,Year Constructed,Age,Estimated replacement cost,Last Renovation Cost,Last Renovation Year,Building Cond,Air Cond,Accessible Area,Assignable Area,Gross Area,Building Cost,Number of Floors,Last Update,,,,,,,,
50,BLOXTON HOUSE/CULTUR,1,1,1952,65,1005016,,,4,1,1729,2532,3712,73000,2,99,,,,,,,,
172,BOWEN CLEANERS PROP,1,1,2000,17,992569,109165,1,1,6,0,4555,6000,523500,1,6,,,,,,,,
8,BREWSTER,1,1,1970,47,32071779,,,4,6,76960,78246,118456,3046000,4,13,,,,,,,,
167,BROWNING BLDG,1,1,1985,32,821816,95801,1,1,6,2613,2613,3096,275000,1,1,,,,,,,,
123,BUILDING 123,1,1,1985,32,324791,,,2,6,1442,2445,4858,300000,1,13,,,,,,,,
52,CAREER SRVCS/5TH ST,1,1,1921,96,1906454,100450,94,4,5,1436,2335,6572,14000,2,99,,,,,,,,
126B,CARPENTRY SHOP #4,1,5,1970,47,1415627,,,2,6,0,4024,4880,,1,13,,,,,,,,
86,CHANCELLOR RESIDENCE,2,1,1948,69,2035257,82500,97,2,6,5988,5988,7016,30000,2,99,,,,,,,,
7,CHRISTENBURY MEM GYM,1,1,1952,65,15287908,,,4,3,0,42093,52701,725000,2,99,,,,,,,,
227,CLARK-LECLAIR STAD.,1,1,2005,12,14780312,,,1,6,12942,12942,45801,9510000,2,5,,,,,,,,
79,CLEMENT RESID HALL,2,1,1969,48,14144169,,,4,6,58154,58154,86044,1311000,10,5,,,,,,,,
171F,COASTAL STUDIES ANX,1,1,1960,57,308216,,,2,1,3600,3600,4000,160000,1,5,,,,,,,,
205,COASTAL STUDIES INST,1,1,1925,92,405989,,,1,4,2700,2700,10060,375000,1,13,,,,,,,,
106,COLLEGE HILL STGE,1,1,1975,42,27847,,,2,1,0,76,96,1000,1,7,,,,,,,,
240,COLLEGE HILL SUITES,2,1,2006,11,44587316,,,1,6,132930,132930,155773,31500000,6,6,,,,,,,,
84,COTTEN RESID HALL,2,1,1925,92,7740466,,,4,6,31391,31391,47088,251000,3,5,,,,,,,,
35,CROATAN,1,1,2010,7,9997837,,,1,6,9546,9546,18659,8200000,2,11,,,,,,,,
164,DAILY REFL #1,1,1,1955,62,7923605,2898471,2,2,6,19907,20082,29137,1438000,2,7,,,,,,,,
165,DAILY REFL #2,1,1,1954,63,1028845,226086,3,1,6,3008,3008,3800,187000,1,6,,,,,,,,
258,ECU TRANSIT,1,1,2014,3,1376675,,,1,6,382,13238,19856,1325000,1,14,,,,,,,,
58,ELLER HOUSE,1,1,1925,92,947621,,,4,6,0,1837,3500,35000,2,99,,,,,,,,
126D,EPPES MOBILE #1,1,5,1970,47,253250,,,3,1,0,830,873,,1,13,,,,,,,,
126E,EPPES MOBILE #2,1,5,1970,47,835454,,,3,1,0,2625,2880,,1,13,,,,,,,,
49,ERWIN HALL,1,1,1952,65,3967006,192000,88,4,5,2955,8054,14652,334000,3,99,,,,,,,,
190,FACILITIES ANNEX,1,1,1957,60,139413,85138,2,1,6,1022,1022,1418,75000,1,6,,,,,,,,
126A,FACILITIES SERV CTR,1,5,1970,47,1321252,140000,96,1,6,0,3328,4880,,1,13,,,,,,,,
161A,FACILITIES WAREHOUSE,1,1,2000,17,474008,,,1,1,0,2367,6000,255000,1,2,,,,,,,,
107,FAMILY THERAPY CLIN,1,1,1954,63,966958,10000,90,3,6,1994,1994,2500,85000,2,99,,,,,,,,
163,FICKLEN STADIUM,1,1,1963,54,58416728,2000000,93,2,2,25278,25278,58819,22378581,4,5,,,,,,,,
133,FINANCIAL SERVICES,1,1,1982,35,1507528,203710,6,2,6,4013,4170,5568,325000,1,6,,,,,,,,
189,FITT BUILDING,1,1,2003,14,925197,,,1,6,2984,2984,4572,521896,1,5,,,,,,,,
2,FLANAGAN BLDG,1,1,1939,78,27167435,1620963,6,1,6,51209,51209,100342,1043000,4,7,,,,,,,,
83,FLEMING RESID HALL,2,1,1923,94,5330609,,,4,6,23225,23225,32428,180000,2,5,,,,,,,,
9,FLETCHER MUSIC CTR,1,1,1966,51,15960619,4818702,7,4,6,47428,49328,58950,1200000,2,7,,,,,,,,
80,FLETCHER RESID HALL,2,1,1964,53,13257322,,,4,6,61061,61061,80649,1197000,7,5,,,,,,,,
264,FOX HAVEN OFFICE 1,1,4,1999,18,84123,,,1,6,1888,1888,3422,,1,13,,,,,,,,
126F,GARAGE,1,4,1970,47,2229612,,,1,6,0,6453,7686,,1,13,,,,,,,,
81,GARRETT RESID HALL,2,1,1956,61,8768848,,,4,6,38126,38126,53344,805000,3,5,,,,,,,,
171C,GENERATOR BUILDING,1,1,1960,57,161236,,,1,1,0,87,837,83700,1,5,,,,,,,,
3,GRAHAM BLDG,1,1,1929,88,4353637,,,4,6,3760,12735,16080,178000,3,99,,,,,,,,
77,GREENE RESID HALL,2,1,1966,51,13599563,,,4,6,58154,58154,82731,1200000,10,5,,,,,,,,
193,GREENVILLE CENTRE,1,1,1991,26,9508978,,,2,6,23128,23807,35289,2400000,2,5,,,,,,,,
100D,GROUNDS BLDG C,1,1,1999,18,241739,,,1,1,4046,4046,4368,100000,1,5,,,,,,,,
100E,GROUNDS BLDG E,1,1,2002,15,99452,,,1,1,1485,1485,1250,55000,1,5,,,,,,,,
100F,GROUNDS BLDG F,1,1,2003,14,241739,,,1,1,4693,4693,4368,100000,1,5,,,,,,,,
100B,GROUNDS STGE COMPLEX,1,1,1989,28,719416,,,1,1,0,1922,2430,60000,1,7,,,,,,,,
95,HAROLD H. BATE BLDG,1,1,1988,29,44673488,,,2,6,69793,71247,165000,10900000,3,0,,,,,,,,
156,HARRIS BLDG,1,1,1997,20,5605943,,,1,6,16978,16978,19325,600000,1,99,,,,,,,,
214,HATTERAS BLDG #1,1,1,1983,34,1670773,,,4,1,0,21216,21300,178851,1,10,,,,,,,,
214D,HATTERAS BLDG #2,1,1,1983,34,548104,,,4,1,0,63023,63760,58673,1,14,,,,,,,,
214E,HATTERAS BLDG #3,1,1,1903,114,535504,,,4,1,0,6633,6800,57324,1,10,,,,,,,,
214A,HATTERAS BLDG #4,1,1,1903,114,1091170,,,4,1,0,13856,14000,116806,1,10,,,,,,,,
214B,HATTERAS BLDG #5,1,1,1903,114,5021139,,,4,1,0,63760,64000,537497,1,10,,,,,,,,
214C,HATTERAS BLDG #6,1,1,1980,37,480381,,,4,1,0,13618,13856,51423,1,14,,,,,,,,
214F,HATTERAS BLDG #7,1,1,1980,37,1009978,,,4,1,0,12597,12825,108115,1,4,,,,,,,,
216,HAYNIE PROPERTY,1,1,1914,103,5817467,,,4,1,0,73034,73872,1080000,1,4,,,,,,,,
92,HOWARD HOUSE/N BUREA,1,1,1940,77,944370,,,4,6,1967,2353,3488,55000,2,99,,,,,,,,
5,HOWELL SCIENCE,1,1,1969,48,43916574,,,4,6,48690,48833,107569,3524000,4,13,,,,,,,,
127,HUMAN RESOURCES,1,1,1973,44,1508610,346310,5,1,6,8700,8700,13088,250000,2,7,,,,,,,,
141,INST ADVANCEMENT BLD,1,1,1975,42,1920419,24968,96,1,6,4604,4604,7093,415000,1,99,,,,,,,,
249,INTERGENERATIONAL,1,3,2014,3,25974,,,4,6,1445,1445,1806,24999,1,14,,,,,,,,
87,INTERNATIONAL HOUSE,1,1,1925,92,947621,,,4,6,0,2294,3500,35000,2,99,,,,,,,,
82,JARVIS RESID HALL,2,1,1909,108,4972749,5574000,79,1,6,25358,25358,34467,141000,2,5,,,,,,,,
14,JENKINS FINE ARTS CT,1,1,1977,40,29780704,784800,97,4,6,81154,81474,109994,4549432,3,5,,,,,,,,
261D,JOHNSON SOCCER STD,1,1,2014,3,5204337,,,1,4,0,0,11574,5008987,1,14,,,,,,,,
70,JONES RESIDENCE HALL,2,1,1958,59,30029869,1111783,2,3,6,81702,81702,103520,1404000,4,7,,,,,,,,
1A,JOYNER EAST,1,1,1975,42,13279840,1214000,97,1,6,16077,16077,30118,2116000,4,97,,,,,,,,
1,JOYNER LIBRARY,1,1,1954,63,75965243,4718733,97,1,6,184983,187368,280575,17090267,3,13,,,,,,,,
48,MAMIE JENKINS BLDG,1,1,1910,107,1377452,,,4,5,3111,3111,3957,25000,1,99,,,,,,,,
58B,MARITIME CNSRVTN LAB,1,1,1974,43,218918,,,4,6,0,1209,1500,20000,1,5,,,,,,,,
58A,MARITIME HIS WET LAB,1,1,1990,27,222788,,,4,1,0,529,576,8500,1,5,,,,,,,,
126C,MASONRY SHOP #5,1,5,1970,47,1400254,,,2,6,0,3971,4827,,1,13,,,,,,,,
33,MCGINNIS AUDITORIUM,1,1,1951,66,10527861,1900000,82,4,5,24719,24753,36292,627844,2,13,,,,,,,,
55,MENDENHALL STUD CTR,1,1,1974,43,33911241,3600000,87,3,6,74318,75423,116900,5272000,3,99,,,,,,,,
34A,MESSICK THEAT ARTS,1,1,1927,90,2784843,1100000,82,4,1,36527,36527,35038,300000,2,5,,,,,,,,
37,MINGES COLISEUM,1,1,1967,50,45137053,2962917,94,2,6,76292,76292,155598,6702000,2,5,,,,,,,,
251,NCRC GROUNDS BLDG,1,1,2008,9,330402,,,1,3,0,0,1748,318000,1,14,,,,,,,,
262,NRC BOAT HOUSE,1,1,2014,3,1525204,,,1,3,0,0,3142,1467954,1,14,,,,,,,,
250,NRC FIELD HOUSE,1,1,2008,9,496642,,,1,3,0,0,5456,478000,1,14,,,,,,,,
47,OLD CAFETERIA,1,1,1909,108,13421773,7002879,6,1,4,23215,23215,46268,769000,3,7,,,,,,,,
261C,OLYMPIC SPORTS TEAMS,1,1,2014,3,5206963,,,1,1,4089,4494,19695,5011514,1,14,,,,,,,,
122,PARKING & TRAFFIC OF,1,1,1982,35,807913,86165,96,2,6,1852,1852,2984,187000,1,99,,,,,,,,
39,PIRATES CLUB BLDG,1,1,1965,52,1382847,130000,80,3,6,0,3337,4767,60000,1,99,,,,,,,,
267,POCOSIN ARTS LODGE,1,4,1999,18,142441,,,1,6,0,6484,9000,,2,13,,,,,,,,
244,PROCTOR YONGUE HSE,1,1,1917,100,291110,,,4,1,0,2893,2950,220072,2,14,,,,,,,,
159,QUIXOTE,1,1,1973,44,944909,,,2,6,1986,2813,3490,241600,2,5,,,,,,,,
85,RAGSDALE HALL,1,1,1923,94,15677519,550000,76,4,6,9078,22881,41144,470431,3,99,,,,,,,,
247,RAPPEL TOWER,1,1,2007,10,124142,,,1,1,0,24,256,95772,3,7,,,,,,,,
4,RAWL BLDG,1,1,1959,58,19714278,,,4,6,42235,42235,73524,1219600,4,99,,,,,,,,
245,REDDIT HOUSE,1,1,1955,62,427221,,,1,2,1411,1411,3532,282560,1,11,,,,,,,,
158,REMCO,1,1,1947,70,730479,,,2,6,2246,2246,2698,145000,2,5,,,,,,,,
10,RIVERS HESC,1,1,1968,49,35839344,373155,97,4,6,47596,47596,112246,10943207,3,13,,,,,,,,
102,ROPES COURSE SHED,1,1,1990,27,55696,,,1,1,0,190,192,5400,1,99,,,,,,,,
150B,ROSS PLACE 602,1,5,1950,67,694470,,,3,6,1719,1719,2050,,1,13,,,,,,,,
150A,ROSS PLACE 608,1,5,1950,67,731021,,,3,6,1744,1744,2900,,1,13,,,,,,,,
38,SCALES FIELD HOUSE,1,1,1966,51,4162465,100000,83,4,5,9956,10361,14349,195000,1,5,,,,,,,,
203,SCIENCE & TECHNOLOGY,1,1,2003,14,120547960,,,1,6,129574,129574,270000,68000000,6,9,,,,,,,,
72,SCOTT RESIDENCE HALL,2,1,1962,55,16123832,1083800,92,3,5,73642,73642,98087,1179000,4,5,,,,,,,,
263,SELECT BANK OFFICE,1,4,1999,18,78696,,,1,6,3360,3360,3702,,2,13,,,,,,,,
229,SELF HELP BLDG,1,4,1910,107,1387764,,,2,6,9342,10505,14882,,4,13,,,,,,,,
171E,SEWAGE TREATMENT BLD,1,1,1960,57,81774,,,6,1,0,131,147,42450,1,5,,,,,,,,
170,SHADY LANE HOUSE,1,1,1959,58,532566,,,2,6,2184,2184,2200,139000,2,10,,,,,,,,
171B,SHELTER A BUILDING,1,1,1960,57,52783,,,2,6,0,123,137,27400,1,5,,,,,,,,
76,SLAY RESIDENCE HALL,1,1,1949,68,6779833,2522198,94,2,6,17554,17554,34269,571000,3,5,,,,,,,,
261,SOFTBALL STADIUM,1,1,2014,3,9158473,,,1,4,753,848,3250,8814700,1,14,,,,,,,,
12,SPEIGHT BLDG,1,1,1965,52,13689580,439679,97,3,6,31217,31217,50562,718000,3,99,,,,,,,,
30,SPILMAN BLDG,1,1,1930,87,4526914,,,4,6,4885,8701,16720,215000,2,99,,,,,,,,
60,STEAM PLANT 14TH ST,1,1,1968,49,5445416,,,2,2,11594,11594,16914,1110000,1,99,,,,,,,,
174,STRENGTH CENTER,1,1,2001,16,22306192,,,2,6,36395,36395,52475,11416500,3,5,,,,,,,,
46,STUDENT HEALTH SRVCS,1,1,1930,87,11084924,,,1,5,11957,12302,28252,558240,2,13,,,,,,,,
231,STUDENT LIFE ARLGTN,1,4,1997,20,822203,,,1,6,2453,2453,3023,,1,13,,,,,,,,
142,STUDENT REC CENTER,1,1,1996,21,49279123,,,2,6,118709,118805,150227,17976155,2,5,,,,,,,,
93,TAYLOR-SLAUGHTER/ALU,1,1,1955,62,1280097,,,3,6,2307,3365,4728,80000,3,99,,,,,,,,
130,TODD DINING HALL,1,1,1994,23,10886138,,,1,6,23686,23686,35000,4840000,1,99,,,,,,,,
261B,TRACK AND FIELD STG,1,1,2014,3,2241898,,,1,1,0,0,1920,2157746,1,14,,,,,,,,
74,TYLER RESIDENCE HALL,2,1,1969,48,15798027,,,4,6,68674,68674,96105,1682000,9,5,,,,,,,,
75,UMSTEAD RESID HALL,3,1,1955,62,9597698,3570486,95,2,6,32027,32027,48512,700000,3,5,,,,,,,,
230A,UNC-CSI MARINE SVS,1,8,2013,4,26925207,,,1,6,0,5861,14359,24870000,1,13,,,,,,,,
230,UNC-CSI RESEARCH,1,8,2013,4,8044000,,,1,6,1202,25653,81101,7430000,3,13,,,,,,,,
53A,WAHL COATES A,1,1,1972,45,665528,,,3,6,3657,3657,4704,94000,1,99,,,,,,,,
53B,WAHL COATES B,1,1,1972,45,1398329,,,3,6,7462,7462,10076,200000,1,99,,,,,,,,
53C,WAHL COATES C,1,1,1972,45,1398329,,,3,6,7462,7462,10076,200000,1,99,,,,,,,,
53D,WAHL COATES D,1,1,1972,45,1424658,,,3,6,8035,8035,10285,205000,1,99,,,,,,,,
53E,WAHL COATES E,1,1,1972,45,646397,,,3,6,3568,3568,4291,85000,1,99,,,,,,,,
53F,WAHL COATES F,1,1,1972,45,1552233,,,3,6,8394,8394,10144,202000,1,99,,,,,,,,
53G,WAHL COATES G,1,1,1972,45,1545639,,,3,6,6806,6806,8531,169000,1,99,,,,,,,,
125,WARD GUEST HOUSE,2,5,1929,88,812242,,,3,6,2321,2321,2800,,2,99,,,,,,,,
97,WARD SPORTS MED FAC,1,1,1989,28,22248270,,,2,6,52365,52365,76695,7482000,3,99,,,,,,,,
43,WAREHOUSE/TECH LAB A,1,1,1951,66,7232463,285612,96,2,1,21434,22999,24932,241671,2,99,,,,,,,,
171D,WATER TREATMENT BLDG,1,1,1960,57,18107,,,1,1,0,0,283,9400,1,5,,,,,,,,
171A,WEST ACADEMIC BLDG,1,1,1960,57,8338181,,,3,6,13866,14889,24047,4328460,1,5,,,,,,,,
171G,WEST CAMPUS STORAGE,1,1,1960,57,308216,,,3,1,0,3600,4000,160000,1,5,,,,,,,,
212,WEST END DINING,1,1,2005,12,21095263,,,1,6,22003,22003,39978,13573187,2,5,,,,,,,,
31,WHICHARD BLDG,1,1,1923,94,6354465,47126,95,4,6,4756,8807,23470,338000,2,99,,,,,,,,
78,WHITE RESIDENCE HALL,2,1,1968,49,13599563,,,4,6,58296,58296,82731,1303000,10,5,,,,,,,,
56,WILLIS BUILDING,1,1,1974,43,4457484,,,4,6,7700,7700,15366,527000,1,99,,,,,,,,
206,WOODWORKS BLDG,1,1,1925,92,272302,,,4,2,0,18218,10385,187500,1,12,,,,,,,,
32,WRIGHT BUILDING,1,1,1925,92,20174220,,,1,6,40164,42869,92982,2053795,3,13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
