Building Num.,Building Name,Address,GSF,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,,
113,Shively Sports Center,712 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
116,Seigler Hall (UAV Shed),Hedger Ln,,,,,,,,,,,,,,,,,,,,,,
117,Soccer Filming Tower,570 Wildcat Ct,,,,,,,,,,,,,,,,,,,,,,
119,Helen King Alumni Building,400 Rose St,,,,,,,,,,,,,,,,,,,,,,
120,Woodland Glen II,650 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
121,Sigma Nu Fraternity,422 Rose Lane,,,,,,,,,,,,,,,,,,,,,,
122,Delta Gamma Sorority,450 Pennsylvania Ave,,,,,,,,,,,,,,,,,,,,,,
123,Georgia M. Blazer Hall,326 S Martin Luther King Blvd,,,,,,,,,,,,,,,,,,,,,,
124,Delta Zeta Sorority,319 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
125,Kappa Alpha Theta Sorority,329 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
126,Phi Sigma Kappa Fraternity,327 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
127,Alpha Gamma Delta Sorority,325 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
128,Kappa Delta Sorority,323 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
129,Delta Sigma Phi Fraternity,321 Columbia Terrace,,,,,,,,,,,,,,,,,,,,,,
139,The 90,440 Hilltop Ave,,,,,,,,,,,,,,,,,,,,,,
141,New Farmhouse Fraternity,456 Rose Ln,,,,,,,,,,,,,,,,,,,,,,
143,Blanding II,763 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
144,Blanding III,765 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
145,Blanding Tower,769 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
146,Blanding IV,767 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
147,Complex Commons,770 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
148,Kirwan IV,756 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
149,Kirwan Tower,758 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
150,Kirwan III,754 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
151,Kirwan II,752 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
152,Kirwan I,750 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
153,Blanding I,761 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
154,Head House,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
155,Greenhouse No 2,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
156,Greenhouse No 4,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
157,Greenhouse No 7,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
158,Greenhouse No 5,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
159,Greenhouse No 3,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
160,Greenhouse No 1,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
161,Greenhouse No 9,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
162,Greenhouse No 11,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
163,Greenhouse No 6,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
164,Greenhouse No 12,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
166,Gatehouse Administration Dr,520 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
167,Gatehouse Rose & Chem/Physics,525 Rose St,,,,,,,,,,,,,,,,,,,,,,
172,Alpha Gamma Rho Fraternity (Under Construction),470 Rose Ln,,,,,,,,,,,,,,,,,,,,,,
173,Gatehouse Med Plaza,140 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
174,Don & Cathy Jacobs Science Building,680 Rose St,,,,,,,,,,,,,,,,,,,,,,
175,Gatehouse Med Plaza,140 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
176,Gatehouse Ky Clinic,140 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
177,Residence Motor Pool,1510 College Way,,,,,,,,,,,,,,,,,,,,,,
178,Gatehouse Young Library,449 Hilltop Ave,,,,,,,,,,,,,,,,,,,,,,
179,Temporary Bookstore,334 Lexington Ave,,,,,,,,,,,,,,,,,,,,,,
181,Woodland Glen III,685 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
182,Isolation Barn Incinerator,1525 College Way,,,,,,,,,,,,,,,,,,,,,,
183,Isolation Barn,1531 College Way,,,,,,,,,,,,,,,,,,,,,,
184,Agricultural Machine Research Lab,411 Stadium View,,,,,,,,,,,,,,,,,,,,,,
185,Garage by Motor Pool Residence,1510 College Way,,,,,,,,,,,,,,,,,,,,,,
186,Woodland Glen IV,703 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
188,Woodland Glen V,693 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
189,Shawneetown Bldg A,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
190,Shawneetown Bldg B,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
191,Shawneetown Bldg D,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
192,Shawneetown Bldg F,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
193,Shawneetown Bldg E,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
194,Shawneetown Bldg C,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
196,Stoll Field Viewing Tower,180 Avenue of Champions,,,,,,,,,,,,,,,,,,,,,,
197,Parking Garage No 1,1290 Veterans Drive,,,,,,,,,,,,,,,,,,,,,,
198,Parking Garage No 2,301 Hilltop Ave,,,,,,,,,,,,,,,,,,,,,,
199,Parking Garage No 3,140 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
200,Wethington Allied Health Building,900 S. Limestone,,,,,,,,,,,,,,,,,,,,,,
202,Parking Garage No 5,409 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
204,Cooling Plant #2,591 S Upper St,,,,,,,,,,,,,,,,,,,,,,
207,Arts Metal Bldg,357 Scott St,,,,,,,,,,,,,,,,,,,,,,
210,Reynolds Warehouse #4,355 Scott St,,,,,,,,,,,,,,,,,,,,,,
211,Maxwell Place Garage,475 Rose St,,,,,,,,,,,,,,,,,,,,,,
212,Lancaster Aquatics,416 Complex Dr,,,,,,,,,,,,,,,,,,,,,,
213,Boone Tennis Center,454 Complex Dr,,,,,,,,,,,,,,,,,,,,,,
214,Flammable Storage Bldg,148 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
215,W. P. Garrigus Bldg,325 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
216,Multi-Disciplinary Research Lab No 3,700 S. Limestone,,,,,,,,,,,,,,,,,,,,,,
217,Electric Substation #2,587 S. Upper St,,,,,,,,,,,,,,,,,,,,,,
219,Seaton Center,1210 University Dr,,,,,,,,,,,,,,,,,,,,,,
220,Bernard Johnson Student Rec Ctr,430 Complex Dr,,,,,,,,,,,,,,,,,,,,,,
222,Kroger Field,1540 University Dr,,,,,,,,,,,,,,,,,,,,,,
223,Warren Wright Medical Plaza,745 Rose St,,,,,,,,,,,,,,,,,,,,,,
224,Lucille Caudill Little Fine Arts Library,160 Patterson Dr,,,,,,,,,,,,,,,,,,,,,,
225,T H Morgan Biological Sciences,675 Rose St,,,,,,,,,,,,,,,,,,,,,,
227,Recreation Equipment Storage Bldg,452 Complex Dr,,,,,,,,,,,,,,,,,,,,,,
229,Agricultural Distribution Center,412 Stadium View,,,,,,,,,,,,,,,,,,,,,,
230,Sanders-Brown Center on Aging,800 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
232,College of Nursing Building,751 Rose Street,,,,,,,,,,,,,,,,,,,,,,
235,John W Oswald Bldg,460 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
236,Kentucky Tobacco Research and Development Center,1401 University Dr,,,,,,,,,,,,,,,,,,,,,,
241,Singletary Center for the Arts,405 Rose St,,,,,,,,,,,,,,,,,,,,,,
243,Greg Page Apartments 1,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
244,Greg Page Apartments 2,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
245,Greg Page Apartments 3,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
246,Greg Page Apartments 4,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
247,Greg Page Apartments 5,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
248,Greg Page Apartments 6,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
249,Greg Page Apartments 7,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
250,Greg Page Apartments 8,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
252,Greg Page Apartments 10,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
253,Greg Page Apartments 11,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
254,Greg Page Apartments 12,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
255,Greg Page Apartments 13,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
256,Greg Page Apartments 14,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
257,Greg Page Apartments 15,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
258,Greg Page Apartments 16,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
259,Greg Page Apartments 17,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
260,Greg Page Apartments 18,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
261,Greg Page Apartments 19,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
262,Greg Page Apartments 20,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
263,Greg Page Apartments 21,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
264,Greg Page Apartments 22,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
265,Greg Page Apartments 23,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
266,Greg Page Apartments 24,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
267,Greg Page Apartments 25,300 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
268,Greg Page Food Storage Laundry,300 Alumni Dr Suite 213,,,,,,,,,,,,,,,,,,,,,,
269,Communications Building,430 Stadium View,,,,,,,,,,,,,,,,,,,,,,
274,Moloney Building,450 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
275,Bruce Poundstone Regulatory Services Bldg,1600 University Ct,,,,,,,,,,,,,,,,,,,,,,
276,Charles E. Barnhart Building,1398 Nicholasville Rd,"67,400",1990,,,,,,,,,,,,,,,,,,,,
277,EJ Nutter Training Center,720 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
278,PPD Storage Bldg,435 Stadium View,,,,,,,,,,,,,,,,,,,,,,
279,BIRP Building,460 Stadium View,,,,,,,,,,,,,,,,,,,,,,
280,Joe Craft Football Training Facility,295 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
281,Oliver H. Raymond Civil Engineering,508 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
282,Gas Storage Building,390 Columbia Ave,,,,,,,,,,,,,,,,,,,,,,
283,Hagan Baseball Stadium,700 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
284,Kentucky Clinic,740 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
285,Nutter Field House,1401 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
286,ASTeCC,145 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
287,Electric HVAC Bldg,425 Stadium View,,,,,,,,,,,,,,,,,,,,,,
288,PPD Greenhouse,455 Stadium View,,,,,,,,,,,,,,,,,,,,,,
289,Hazardous Waste Storage,475 Stadium View,,,,,,,,,,,,,,,,,,,,,,
293,UK Hospital - Chandler Medical Center & Hospital (Pavilion H),800 Rose St,,,,,,,,,,,,,,,,,,,,,,
294,Gill Heart and Vascular Institute (Pavilion G),842 Rose Street,,,,,,,,,,,,,,,,,,,,,,
297,Dental Science Bldg,800 Rose St,,,,,,,,,,,,,,,,,,,,,,
298,William R. Willard Medical Education Bldg,800 Rose St,,,,,,,,,,,,,,,,,,,,,,
300,Arboretum Tool Shed,510 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
301,154 Bonnie Brae Dr,154 Bonnie Brae Dr,,,,,,,,,,,,,,,,,,,,,,
302,Dorotha Smith Oatts Visitor Center,500 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
303,Arboretum Restrooms,520 Alumni Dr,,,,,,,,,,,,,,,,,,,,,,
305,Peter P. Bosomworth Health Sciences Research Bldg,1095 Veterans Drive,,,,,,,,,,,,,,,,,,,,,,
312,Plant Sciences,1405 Veterans Dr,,,,,,,,,,,,,,,,,,,,,,
314,252 East Maxwell St,252 East Maxwell St,,,,,,,,,,,,,,,,,,,,,,
315,206 East Maxwell St,206 East Maxwell St,,,,,,,,,,,,,,,,,,,,,,
333,641 South Limestone St,641 South Limestone St,,,,,,,,,,,,,,,,,,,,,,
336,Thomas D Clark Bldg,663 South Limestone St,,,,,,,,,,,,,,,,,,,,,,
337,663 South Limestone Garage,663 South Limestone,,,,,,,,,,,,,,,,,,,,,,
343,Bingham Davis House,218 E Maxwell St,,,,,,,,,,,,,,,,,,,,,,
344,RAYMOND F. BETTS HOUSE,232 E Maxwell St,,,,,,,,,,,,,,,,,,,,,,
345,Max Kade German House and Cultural Center,212 E Maxwell St,,,,,,,,,,,,,,,,,,,,,,
346,654 Maxwelton Ct,654 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
347,624 Maxwelton Ct,624 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
348,626 Maxwelton Ct,626 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
349,641 Maxwelton Ct,641 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
350,643 Maxwelton Ct,643 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
351,644 Maxwelton Ct,644 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
353,520 Oldham Ct,520 Oldham Ct.,,,,,,,,,,,,,,,,,,,,,,
377,319 Rose Lane,319 Rose Lane,,,,,,,,,,,,,,,,,,,,,,
378,321 Rose Lane,321 Rose Lane,,,,,,,,,,,,,,,,,,,,,,
381,162-164 Gazette Avenue,162-164 Gazette Avenue,,,,,,,,,,,,,,,,,,,,,,
382,Sky Blue Solar House,1313 Nicholasville Rd,,,,,,,,,,,,,,,,,,,,,,
386,150 Gazette Avenue,150 Gazette Avenue,,,,,,,,,,,,,,,,,,,,,,
391,Bus Shelter #2,274 Ave of Champions,,,,,,,,,,,,,,,,,,,,,,
392,Bus Shelter #3,503 Rose St,,,,,,,,,,,,,,,,,,,,,,
393,BUS SHELTER #7,440 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
394,Bus Shelter #6,355 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
397,Bus Shelter #9,1608 University Court,,,,,,,,,,,,,,,,,,,,,,
398,Bus Shelter #10,599 S.Upper St,,,,,,,,,,,,,,,,,,,,,,
399,Bus Shelter #11,639 S.Limestone,,,,,,,,,,,,,,,,,,,,,,
400,Ellen H. Richards House,630 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
401,Weldon House,635 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
413,Softball/Soccer Locker Rooms,556 Wildcat Ct,,,,,,,,,,,,,,,,,,,,,,
416,Bus Shelter #12,125 Washington Ave,,,,,,,,,,,,,,,,,,,,,,
417,660 South Limestone,660 South Limestone,,,,,,,,,,,,,,,,,,,,,,
419,Bus Shelter #13,790 Rose Street,,,,,,,,,,,,,,,,,,,,,,
420,424 Euclid Avenue,424 Euclid Avenue,,,,,,,,,,,,,,,,,,,,,,
427,Bowman`s Den,220 Avenue of Champions,,,,,,,,,,,,,,,,,,,,,,
432,Commonwealth House,226 E Maxwell St,,,,,,,,,,,,,,,,,,,,,,
433,THE WILLIAM E. & CASIANA SCHMIDT VOCAL ARTS CENTER,412 Rose St,,,,,,,,,,,,,,,,,,,,,,
442,Ligon House,658 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
446,John Cropp Softball Stadium,570 Wildcat Ct,,,,,,,,,,,,,,,,,,,,,,
447,Hitting Pavilion,558 Wildcat Ct,,,,,,,,,,,,,,,,,,,,,,
448,Football Storage Shed,710 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
449,Shively Grounds Storage Bldg,708 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
453,Shively Grounds Bldg,706 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
456,W.T. Young Library,401 Hilltop Ave,,,,,,,,,,,,,,,,,,,,,,
462,Sarah Bennett Holmes Hall,111 Avenue of Champions,,,,,,,,,,,,,,,,,,,,,,
463,Cleona Belle Matthews Boyd Hall,329 S Martin Luther King Blvd,,,,,,,,,,,,,,,,,,,,,,
465,Pavilion at Kroger Field,1580 University Dr,,,,,,,,,,,,,,,,,,,,,,
467,220 Transcript Ave,220 Transcript Ave,,,,,,,,,,,,,,,,,,,,,,
473,505 Oldham Ct,505 Oldham Ct.,,,,,,,,,,,,,,,,,,,,,,
481,LCC Academic Tech Building,470 Cooper Dr.,,,,,,,,,,,,,,,,,,,,,,
484,Real Properties Garage,518 Oldham Ct,,,,,,,,,,,,,,,,,,,,,,
485,Boone Tennis Stadium,725 Sports Center Drive,,,,,,,,,,,,,,,,,,,,,,
487,518 Oldham Ct,518 Oldham Ct.,,,,,,,,,,,,,,,,,,,,,,
488,Woodland Early Learning Center,575 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
489,1117 South Limestone,1117 South Limestone,,,,,,,,,,,,,,,,,,,,,,
490,Environmental Quality Management,355 Cooper Dr,,,,,,,,,,,,,,,,,,,,,,
491,Ecological Research Facility,1685 Russell Cave Rd,,,,,,,,,,,,,,,,,,,,,,
494,Stuckert Career Center,408 Rose St,,,,,,,,,,,,,,,,,,,,,,
495,James F. Hardymon Communications Bldg,301 Rose St,,,,,,,,,,,,,,,,,,,,,,
496,Japanese Saturday School Unit 3,1113 Centre Pkwy,,,,,,,,,,,,,,,,,,,,,,
498,Japanese Saturday School Office,1113 Centre Pkwy,,,,,,,,,,,,,,,,,,,,,,
499,Japanese Saturday School Classroom,1113 Centre Pkwy,,,,,,,,,,,,,,,,,,,,,,
503,Ralph G Anderson Building (Mech Eng),506 Administration Drive,"59,000",,,,,,,,,,,,,,,,,,,,,
504,Sigma Chi Fraternity House,447 Pennsylvania Ave,,,,,,,,,,,,,,,,,,,,,,
505,Alpha Tau Omega Fraternity,441 Pennsylvania Ave,,,,,,,,,,,,,,,,,,,,,,
507,Sigma Alpha Epsilon Fraternity,410 Rose Lane,,,,,,,,,,,,,,,,,,,,,,
509,Biomedical Biological Sciences Research Building (BBSRB),741 S. Limestone,,,,,,,,,,,,,,,,,,,,,,
514,Central Utility Plant #4,751 Press Avenue,,,,,,,,,,,,,,,,,,,,,,
517,College of Medicine Learning Center,807 S. Limestone,,,,,,,,,,,,,,,,,,,,,,
518,BBSRB Generator Building,761 Press Avenue,,,,,,,,,,,,,,,,,,,,,,
564,630 South Broadway,630 South Broadway,,,,,,,,,,,,,,,,,,,,,,
565,John T. Smith Hall,740 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
